canonical_column,attribute,construct,media,scale,film_r,book_r,variant_selected,r_cv5,eff_film_r,r_used,ci_lo,ci_hi,old_tier,new_tier,old_validated,new_validated,r_basis
genre_Crime,Crime,genre,"film,book,tv",0--100,0.88,,False,,0.88,0.88,0.848,0.906,--,A,True,True,ROC AUC vs IMDb tags
genre_Thriller,Thriller,genre,"film,book,tv",0--100,0.85,,False,,0.85,0.85,0.811,0.882,--,A,True,True,ROC AUC vs IMDb tags
genre_Family,Family,genre,"film,book,tv",0--100,0.85,,False,,0.85,0.85,0.811,0.882,--,A,True,True,ROC AUC vs IMDb tags
genre_Romance,Romance,genre,"film,book,tv",0--100,0.84,,False,,0.84,0.84,0.798,0.874,--,A,True,True,ROC AUC vs IMDb tags
genre_Drama,Drama,genre,"film,book,tv",0--100,0.79,,False,,0.79,0.79,0.737,0.833,--,A,True,True,ROC AUC vs IMDb tags
6_how_science_fictional_was_the_world_of_the_movie_by_science_fictiona,sci-fi world,structure,"film,tv",1--7,0.785,0.87,False,,0.785,0.87,0.825,0.904,A,A,True,True,"in-sample (single-prompt, no selection)"
visual_Dark,Visual: Dark,texture,"film,tv",0--100,0.73,,False,,0.73,0.73,0.665,0.784,A,A,True,True,"in-sample (single-prompt, no selection)"
5_how_fantastical_was_the_world_of_the_movies_by_fantastical_we_mean_a,fantastical world,structure,"film,tv",1--7,0.741,0.78,False,,0.741,0.78,0.709,0.835,A,A,True,True,"in-sample (single-prompt, no selection)"
score_Ominous,Score: Ominous,texture,"film,tv",0--100,0.66,,False,,0.66,0.66,0.582,0.726,A,A,True,True,"in-sample (single-prompt, no selection)"
acting_Campy,Acting: Campy,texture,"film,tv",0--100,0.62,,False,,0.62,0.62,0.536,0.692,A,A,True,True,"in-sample (single-prompt, no selection)"
visual_Saturated,Visual: Saturated,texture,"film,tv",0--100,0.65,,False,,0.65,0.65,0.571,0.717,A,A,True,True,"in-sample (single-prompt, no selection)"
5_if_you_checked_any_of_the_above_how_relevant_are_these_aspect_s_of_t,identity relevance,structure,"film,tv",1--5,0.64,,False,,0.64,0.64,0.559,0.709,A,A,True,True,"in-sample (single-prompt, no selection)"
visual_Muted,Visual: Muted,texture,"film,tv",0--100,0.56,,False,,0.56,0.56,0.467,0.641,A,A,True,True,"in-sample (single-prompt, no selection)"
3_how_realistic_was_the_world_of_the_movie_by_realistic_we_mean_plausi,realistic world,structure,"film,tv",1--7,0.749,0.6,False,,0.749,0.749,0.688,0.8,A,A,True,True,"in-sample (single-prompt, no selection)"
visual_Gritty,Visual: Gritty,texture,"film,tv",0--100,0.54,,False,,0.54,0.54,0.444,0.624,A,A,True,True,"in-sample (single-prompt, no selection)"
1_how_many_protagonists_were_there_a_protagonist_is_the_person_or_enti,# protagonists,structure,"film,tv",1--6,0.482,0.45,False,,0.482,0.482,0.379,0.573,A,A,True,True,"in-sample (single-prompt, no selection)"
visual_Bright,Visual: Bright,texture,"film,tv",0--100,0.6,,False,,0.6,0.6,0.513,0.675,A,A,True,True,"in-sample (single-prompt, no selection)"
score_Orchestral,Score: Orchestral,texture,"film,tv",0--100,0.49,,False,,0.49,0.49,0.388,0.58,A,A,True,True,"in-sample (single-prompt, no selection)"
12a_on_a_scale_of_1_entirely_unresolved_to_7_entirely_resolved,ending resolved,structure,"film,tv",1--7,0.54,,False,,0.54,0.54,0.444,0.624,A,A,True,True,"in-sample (single-prompt, no selection)"
7_overall_how_relevant_was_world_building_to_the_movie_world_building,world-building relevance,structure,"film,tv",1--5,0.599,0.4,False,,0.599,0.599,0.512,0.674,A,A,True,True,"in-sample (single-prompt, no selection)"
visual_Handheld,Visual: Handheld,texture,"film,tv",0--100,0.46,,False,,0.46,0.46,0.354,0.554,A,A,True,True,"in-sample (single-prompt, no selection)"
12b_on_a_scale_of_1_very_unsurprising_predictable_to_7_very_surprising,ending surprising,structure,"film,tv",1--7,0.5,,False,,0.5,0.5,0.399,0.589,A,A,True,True,"in-sample (single-prompt, no selection)"
score_Melodic,Score: Melodic,texture,"film,tv",0--100,0.49,,False,,0.49,0.49,0.388,0.58,A,A,True,True,"in-sample (single-prompt, no selection)"
acting_Brooding,Acting: Brooding,texture,"film,tv",0--100,0.48,,False,,0.48,0.48,0.377,0.572,A,A,True,True,"in-sample (single-prompt, no selection)"
visual_Slow,Visual: Slow,texture,"film,tv",0--100,0.4,,False,,0.4,0.4,0.288,0.501,A,B,True,True,"in-sample (single-prompt, no selection)"
visual_Stylized,Visual: Stylized,texture,"film,tv",0--100,0.49,,False,,0.49,0.49,0.388,0.58,A,A,True,True,"in-sample (single-prompt, no selection)"
score_Rock_n__Roll,Score: Rock n' Roll,texture,"film,tv",0--100,0.43,,False,,0.43,0.43,0.321,0.528,A,B,True,True,"in-sample (single-prompt, no selection)"
acting_Deadpan,Acting: Deadpan,texture,"film,tv",0--100,0.37,,False,,0.37,0.37,0.256,0.474,A,B,True,True,"in-sample (single-prompt, no selection)"
score_Electronic,Score: Electronic,texture,"film,tv",0--100,0.6,,False,,0.6,0.6,0.513,0.675,A,A,True,True,"in-sample (single-prompt, no selection)"
5_in_your_opinion_how_would_you_rate_the_quality_of_the_setting_and_wo,setting/world quality,structure,"film,tv",1--7,0.431,,False,,0.431,0.431,0.322,0.528,A,B,True,True,"in-sample (single-prompt, no selection)"
8a_how_likable_was_this_protagonist_by_likable_we_mean_easy_to_relate,protagonist likable,structure,"film,book,tv",1--5,0.584,,False,,0.584,0.584,0.494,0.661,A,A,True,True,"in-sample (single-prompt, no selection)"
score_Grand,Score: Grand,texture,"film,tv",0--100,0.19,,False,,0.19,0.19,0.065,0.309,C,drop,False,False,"in-sample (single-prompt, no selection)"
19_how_convincing_did_you_find_the_plot_by_convincing_we_mean_believab,plot convincing,structure,"film,tv",1--7,0.474,,False,,0.474,0.474,0.37,0.566,A,A,True,True,"in-sample (single-prompt, no selection)"
7_now_let_s_talk_pun_intended_about_dialogue_in_your_opinion_how_was_t,dialogue overall,structure,"film,tv",2--5,0.464,,False,,0.464,0.464,0.359,0.557,A,A,True,True,"in-sample (single-prompt, no selection)"
7_on_the_whole_how_would_you_describe_the_pace_of_the_movie_pace_is_th,pace,structure,"film,tv",1--5,0.43,,False,,0.43,0.43,0.321,0.528,A,B,True,True,"in-sample (single-prompt, no selection)"
acting_Raw,Acting: Raw,texture,"film,tv",0--100,0.33,,False,,0.33,0.33,0.213,0.438,A,B,True,True,"in-sample (single-prompt, no selection)"
8_how_engaging_did_you_find_the_dialogue_in_the_movie,dialogue engaging,structure,"film,tv",1--7,0.41,,False,,0.41,0.41,0.299,0.51,A,B,True,True,"in-sample (single-prompt, no selection)"
mood_Sad,Sad,mood,"film,book,tv",0--100,0.34,,False,,0.34,0.34,0.223,0.447,--,B,True,True,"in-sample (single-prompt, no selection)"
mood_Optimistic,Optimistic,mood,"film,book,tv",0--100,0.43,,False,,0.43,0.43,0.321,0.528,--,B,True,True,"in-sample (single-prompt, no selection)"
mood_Quirky,Quirky,mood,"film,book,tv",0--100,0.52,,False,,0.52,0.52,0.422,0.606,--,A,True,True,"in-sample (single-prompt, no selection)"
mood_Raw,Raw,mood,"film,book,tv",0--100,0.41,,False,,0.41,0.41,0.299,0.51,--,B,True,True,"in-sample (single-prompt, no selection)"
mood_Reflective,Reflective,mood,"film,book,tv",0--100,0.1,,False,,0.1,0.1,-0.026,0.223,--,drop,False,False,"in-sample (single-prompt, no selection)"
mood_Romantic,Romantic,mood,"film,book,tv",0--100,0.6,,False,,0.6,0.6,0.513,0.675,--,A,True,True,"in-sample (single-prompt, no selection)"
mood_Surreal,Surreal,mood,"film,book,tv",0--100,0.31,,False,,0.31,0.31,0.191,0.42,--,C,True,True,"in-sample (single-prompt, no selection)"
mood_Tense,Tense,mood,"film,book,tv",0--100,0.52,,False,,0.52,0.52,0.422,0.606,--,A,True,True,"in-sample (single-prompt, no selection)"
mood_Tragic,Tragic,mood,"film,book,tv",0--100,0.48,,False,,0.48,0.48,0.377,0.572,--,A,True,True,"in-sample (single-prompt, no selection)"
mood_Whimsical,Whimsical,mood,"film,book,tv",0--100,0.43,,False,,0.43,0.43,0.321,0.528,--,B,True,True,"in-sample (single-prompt, no selection)"
mood_Wistful,Wistful,mood,"film,book,tv",0--100,0.15,,False,,0.15,0.15,0.024,0.271,--,drop,False,False,"in-sample (single-prompt, no selection)"
mood_Lighthearted,Lighthearted,mood,"film,book,tv",0--100,0.6,,False,,0.6,0.6,0.513,0.675,--,A,True,True,"in-sample (single-prompt, no selection)"
visual_Clean,Visual: Clean,texture,"film,tv",0--100,0.41,,False,,0.41,0.41,0.299,0.51,A,B,True,True,"in-sample (single-prompt, no selection)"
mood_Melancholic,Melancholic,mood,"film,book,tv",0--100,0.38,,False,,0.38,0.38,0.267,0.483,--,B,True,True,"in-sample (single-prompt, no selection)"
mood_Mysterious,Mysterious,mood,"film,book,tv",0--100,0.4,,False,,0.4,0.4,0.288,0.501,--,B,True,True,"in-sample (single-prompt, no selection)"
mood_Inspirational,Inspirational,mood,"film,book,tv",0--100,0.33,,False,,0.33,0.33,0.213,0.438,--,B,True,True,"in-sample (single-prompt, no selection)"
mood_Cozy,Cozy,mood,"film,book,tv",0--100,0.35,,False,,0.35,0.35,0.234,0.456,--,B,True,True,"in-sample (single-prompt, no selection)"
5_to_what_extent_did_you_feel_moved_by_this_movie_on_an_emotional_basi,emotionally moved,structure,"film,tv",1--5,0.262,,False,,0.262,0.262,0.141,0.376,A,C,True,True,"in-sample (single-prompt, no selection)"
mood_Hopeful,Hopeful,mood,"film,book,tv",0--100,0.38,,False,,0.38,0.38,0.267,0.483,--,B,True,True,"in-sample (single-prompt, no selection)"
mood_Bittersweet,Bittersweet,mood,"film,book,tv",0--100,0.24,,False,,0.24,0.24,0.117,0.355,--,C,True,True,"in-sample (single-prompt, no selection)"
mood_Bleak,Bleak,mood,"film,book,tv",0--100,0.41,,False,,0.41,0.41,0.299,0.51,--,B,True,True,"in-sample (single-prompt, no selection)"
mood_Chaotic,Chaotic,mood,"film,book,tv",0--100,0.27,,False,,0.27,0.27,0.149,0.383,--,C,True,True,"in-sample (single-prompt, no selection)"
mood_Challenging,Challenging,mood,"film,book,tv",0--100,0.17,,False,,0.17,0.17,0.045,0.29,--,drop,False,False,"in-sample (single-prompt, no selection)"
mood_Chilling,Chilling,mood,"film,book,tv",0--100,0.34,,False,,0.34,0.34,0.223,0.447,--,B,True,True,"in-sample (single-prompt, no selection)"
mood_Adventurous,Adventurous,mood,"film,book,tv",0--100,0.57,,False,,0.57,0.57,0.478,0.649,--,A,True,True,"in-sample (single-prompt, no selection)"
mood_Dark,Dark,mood,"film,book,tv",0--100,0.53,,False,,0.53,0.53,0.433,0.615,--,A,True,True,"in-sample (single-prompt, no selection)"
mood_Funny,Funny,mood,"film,book,tv",0--100,0.69,,False,,0.69,0.69,0.618,0.751,--,A,True,True,"in-sample (single-prompt, no selection)"
mood_Heartwarming,Heartwarming,mood,"film,book,tv",0--100,0.62,,False,,0.62,0.62,0.536,0.692,--,A,True,True,"in-sample (single-prompt, no selection)"
mood_Dreamy,Dreamy,mood,"film,book,tv",0--100,0.37,,False,,0.37,0.37,0.256,0.474,--,B,True,True,"in-sample (single-prompt, no selection)"
mood_Gritty,Gritty,mood,"film,book,tv",0--100,0.4,,False,,0.4,0.4,0.288,0.501,--,B,True,True,"in-sample (single-prompt, no selection)"
mood_Epic,Epic,mood,"film,book,tv",0--100,0.49,,False,,0.49,0.49,0.388,0.58,--,A,True,True,"in-sample (single-prompt, no selection)"
mood_Energetic,Energetic,mood,"film,book,tv",0--100,0.47,,False,,0.47,0.47,0.366,0.563,--,A,True,True,"in-sample (single-prompt, no selection)"
mood_Eerie,Eerie,mood,"film,book,tv",0--100,0.52,,False,,0.52,0.52,0.422,0.606,--,A,True,True,"in-sample (single-prompt, no selection)"
score_Jazz,Score: Jazz,texture,"film,tv",0--100,0.37,,False,,0.37,0.37,0.256,0.474,A,B,True,True,"in-sample (single-prompt, no selection)"
13_how_relatable_did_you_find_this_protagonist,protagonist relatable,structure,"film,tv",1--7,0.209,0.24,False,,0.209,0.24,0.085,0.384,A,C,True,True,"in-sample (single-prompt, no selection)"
score_Dissonant,Score: Dissonant,texture,"film,tv",0--100,0.54,,False,,0.54,0.54,0.444,0.624,A,A,True,True,"in-sample (single-prompt, no selection)"
acting_Manic,Acting: Manic,texture,"film,tv",0--100,0.3,,False,,0.3,0.3,0.181,0.411,A,C,True,True,"in-sample (single-prompt, no selection)"
5_in_your_opinion_how_would_you_rate_the_quality_of_the_character_writ,character-writing quality,structure,"film,tv",1--7,0.431,,False,,0.431,0.431,0.322,0.528,A,B,True,True,"in-sample (single-prompt, no selection)"
4_how_interesting_did_you_find_the_visual_style_by_interesting_we_mean,visual interesting,structure,"film,tv",1--7,0.519,,False,,0.519,0.519,0.42,0.605,A,A,True,True,"in-sample (single-prompt, no selection)"
3_how_evocative_did_you_find_the_visual_style_by_evocative_we_mean_aff,visual evocative,structure,"film,tv",1--7,0.593,,False,,0.593,0.593,0.505,0.669,A,A,True,True,"in-sample (single-prompt, no selection)"
12c_on_a_scale_of_1_very_confusing_to_7_very_easy_to_understand,clarity (easy to follow),structure,"film,tv",1--7,0.34,,False,,0.34,0.34,0.223,0.447,A,B,True,True,"in-sample (single-prompt, no selection)"
8_how_many_major_settings_does_the_movie_contain_here_we_re_asking_you,# settings,structure,"film,tv",1--6,0.305,,False,,0.305,0.305,0.186,0.415,A,C,True,True,"in-sample (single-prompt, no selection)"
8c_how_proactive_was_this_protagonist_by_proactive_we_mean_motivated_a,protagonist proactive,structure,"film,book,tv",1--5,0.25,0.31,False,,0.25,0.31,0.159,0.447,A,C,True,True,"in-sample (single-prompt, no selection)"
score_Emotional,Score: Emotional,texture,"film,tv",0--100,0.29,,False,,0.29,0.29,0.17,0.401,A,C,True,True,"in-sample (single-prompt, no selection)"
visual_Natural,Visual: Natural,texture,"film,tv",0--100,0.37,,False,,0.37,0.37,0.256,0.474,A,B,True,True,"in-sample (single-prompt, no selection)"
visual_Busy,Visual: Busy,texture,"film,tv",0--100,0.27,,False,,0.27,0.27,0.149,0.383,B,C,True,True,"in-sample (single-prompt, no selection)"
6_how_did_you_feel_about_the_movie,overall feeling,structure,"film,tv",1--7,0.34,,False,,0.34,0.34,0.223,0.447,B,B,True,True,"in-sample (single-prompt, no selection)"
plot_compelling,plot compelling,structure,book,2--7,0.35,,False,,0.35,0.35,0.234,0.456,B,B,True,True,"in-sample (single-prompt, no selection)"
acting_Physical,Acting: Physical,texture,"film,tv",0--100,0.31,,False,,0.31,0.31,0.191,0.42,B,C,True,True,"in-sample (single-prompt, no selection)"
8b_how_competent_was_this_protagonist_by_competent_we_mean_effective_a,protagonist competent,structure,"film,book,tv",1--5,0.366,0.485,False,,0.366,0.54,0.417,0.644,A,A,True,True,"in-sample (single-prompt, no selection)"
acting_Intense,Acting: Intense,texture,"film,tv",0--100,0.51,,False,,0.51,0.51,0.41,0.598,B,A,True,True,"in-sample (single-prompt, no selection)"
3_approximately_how_many_named_side_characters_are_in_this_movie_feel,# side characters,structure,"film,tv",2--50,0.27,,False,,0.27,0.27,0.149,0.383,B,C,True,True,"in-sample (single-prompt, no selection)"
visual_Fast_cut,Visual: Fast-cut,texture,"film,tv",0--100,0.29,,False,,0.29,0.29,0.17,0.401,B,C,True,True,"in-sample (single-prompt, no selection)"
10_how_important_was_the_dialogue_to_your_experience_of_the_movie_as_a,dialogue importance,structure,"film,tv",1--5,0.28,,False,,0.28,0.28,0.16,0.392,B,C,True,True,"in-sample (single-prompt, no selection)"
13_how_much_did_you_like_the_score,score liking,structure,"film,tv",2--7,0.31,,False,,0.31,0.31,0.191,0.42,B,C,True,True,"in-sample (single-prompt, no selection)"
acting_Natural,Acting: Natural,texture,"film,tv",0--100,0.29,,False,,0.29,0.29,0.17,0.401,B,C,True,True,"in-sample (single-prompt, no selection)"
acting_Improvisational,Acting: Improvisational,texture,"film,tv",0--100,0.37,,False,,0.37,0.37,0.256,0.474,B,B,True,True,"in-sample (single-prompt, no selection)"
9_how_realistic_did_you_find_the_dialogue_in_the_movie,dialogue realistic,structure,"film,tv",1--7,0.34,,False,,0.34,0.34,0.223,0.447,B,B,True,True,"in-sample (single-prompt, no selection)"
score_Intimate,Score: Intimate,texture,"film,tv",0--100,0.43,,False,,0.43,0.43,0.321,0.528,B,B,True,True,"in-sample (single-prompt, no selection)"
familiar_world,familiar world,structure,book,1--7,0.26,,False,,0.26,0.26,0.138,0.374,B,C,True,True,"in-sample (single-prompt, no selection)"
acting_Subtle,Acting: Subtle,texture,"film,tv",0--100,0.21,,False,,0.21,0.21,0.086,0.327,C,drop,False,False,"in-sample (single-prompt, no selection)"
12_how_emotionally_invested_were_you_in_this_protagonist,protagonist investment,structure,"film,tv",1--7,0.25,,False,,0.25,0.25,0.128,0.365,B,C,True,True,"in-sample (single-prompt, no selection)"
satisfying_ending,ending satisfying,structure,book,1--7,0.28,,False,,0.28,0.28,0.16,0.392,B,C,True,True,"in-sample (single-prompt, no selection)"
visual_Sharp,Visual: Sharp,texture,"film,tv",0--100,0.22,,False,,0.22,0.22,0.097,0.337,B,C,True,True,"in-sample (single-prompt, no selection)"
themes_interesting,themes interesting,structure,book,1--5,0.24,,False,,0.24,0.24,0.117,0.355,B,C,True,True,"in-sample (single-prompt, no selection)"
visual_Dreamy,Visual: Dreamy,texture,"film,tv",0--100,0.3,,False,,0.3,0.3,0.181,0.411,B,C,True,True,"in-sample (single-prompt, no selection)"
acting_Method,Acting: Method,texture,"film,tv",0--100,0.26,,False,,0.26,0.26,0.138,0.374,B,C,True,True,"in-sample (single-prompt, no selection)"
4_how_important_would_you_say_the_side_characters_are_in_this_movie,side-character importance,structure,"film,tv",1--5,0.26,,False,,0.26,0.26,0.138,0.374,B,C,True,True,"in-sample (single-prompt, no selection)"
11_how_real_did_this_protagonist_feel_to_you,protagonist real,structure,"film,tv",1--7,0.565,,False,,0.565,0.565,0.473,0.645,C,A,False,True,"in-sample (single-prompt, no selection)"
score_Choral,Score: Choral,texture,"film,tv",0--100,0.37,,False,,0.37,0.37,0.256,0.474,B,B,True,True,"in-sample (single-prompt, no selection)"
acting_Theatrical,Acting: Theatrical,texture,"film,tv",0--100,0.34,,False,,0.34,0.34,0.223,0.447,B,B,True,True,"in-sample (single-prompt, no selection)"
2_how_consistent_did_you_find_the_visual_style_by_consistent_we_mean_t,visual consistent,structure,"film,tv",1--7,0.412,,False,,0.412,0.412,0.302,0.512,C,B,False,True,"in-sample (single-prompt, no selection)"
arc_likable_Beginning,Likability (beginning),character-arc,"film,book,tv",1--5,0.32,,False,,0.32,0.32,0.202,0.429,--,C,True,True,"in-sample (single-prompt, no selection)"
arc_likable_Middle,Likability (middle),character-arc,"film,book,tv",1--5,0.38,,False,,0.38,0.38,0.267,0.483,--,B,True,True,"in-sample (single-prompt, no selection)"
arc_likable_End,Likability (end),character-arc,"film,book,tv",1--5,0.49,,False,,0.49,0.49,0.388,0.58,--,A,True,True,"in-sample (single-prompt, no selection)"
arc_competent_Beginning,Competence (beginning),character-arc,"film,book,tv",1--5,0.46,0.485,False,,0.46,0.54,0.417,0.644,--,A,True,True,"in-sample (single-prompt, no selection)"
arc_competent_Middle,Competence (middle),character-arc,"film,book,tv",1--5,0.32,0.485,False,,0.32,0.54,0.417,0.644,--,A,True,True,"in-sample (single-prompt, no selection)"
arc_competent_End,Competence (end),character-arc,"film,book,tv",1--5,0.43,0.485,False,,0.43,0.54,0.417,0.644,--,A,True,True,"in-sample (single-prompt, no selection)"
arc_proactive_Beginning,Proactiveness (beginning),character-arc,"film,book,tv",1--5,0.55,0.31,False,,0.55,0.55,0.455,0.632,--,A,True,True,"in-sample (single-prompt, no selection)"
arc_proactive_Middle,Proactiveness (middle),character-arc,"film,book,tv",1--5,0.09,0.31,False,,0.09,0.31,0.159,0.447,--,C,True,True,"in-sample (single-prompt, no selection)"
arc_proactive_End,Proactiveness (end),character-arc,"film,book,tv",1--5,0.24,0.31,False,,0.24,0.31,0.159,0.447,--,C,True,True,"in-sample (single-prompt, no selection)"
plot_driven,plot-driven,structure,"film,book,tv",1--5,0.27,0.54,False,,0.27,0.54,0.417,0.644,A,A,True,True,"in-sample (single-prompt, no selection)"
character_driven,character-driven,structure,"film,book,tv",1--5,0.51,0.43,False,,0.51,0.51,0.41,0.598,A,A,True,True,"in-sample (single-prompt, no selection)"
setting_when,Setting: era (when),setting,"film,book,tv","select-all, 5 options 0-100",0.71,0.78,False,,0.71,0.78,0.709,0.835,A,A,True,True,"in-sample (single-prompt, no selection)"
setting_where,Setting: place (where),setting,"film,book,tv","select-all, 3 options 0-100",0.57,0.62,False,,0.57,0.62,0.512,0.709,A,A,True,True,"in-sample (single-prompt, no selection)"
character_development,Character development,structure,"film,book,tv",1-7,0.58,0.34,True,0.54,0.54,0.54,0.444,0.624,A,A,True,True,held-out CV (r_cv5)
opening_hook,Opening hook,structure,"film,book,tv",1-5,0.36,0.35,True,0.352,0.352,0.352,0.236,0.458,A,B,True,True,held-out CV (r_cv5)
time_linearity,Time linearity,structure,"film,tv",1-4,0.32,0.45,True,0.349,0.349,0.45,0.314,0.568,A,A,True,True,held-out CV (r_cv5)
plot_linearity,Plot linearity,structure,"film,book,tv",1-4,0.24,0.33,True,0.227,0.227,0.33,0.181,0.464,B,B,True,True,held-out CV (r_cv5)
ending_reversal,Ending reversal (peripeteia),structure,"film,book,tv",1-3,0.29,0.25,True,0.23,0.23,0.25,0.095,0.393,B,C,True,True,held-out CV (r_cv5)
pathos,Pathos,structure,"film,tv",1-3,0.339,,False,,0.339,0.339,0.222,0.446,A,B,True,True,"in-sample (single-prompt, no selection)"
conflict_self,Conflict: vs self,conflict,"film,book,tv",0-100,0.284,0.31,False,,0.284,0.31,0.159,0.447,B,C,True,True,"in-sample (single-prompt, no selection)"
conflict_other,Conflict: vs other,conflict,"film,book,tv",0-100,0.206,0.2,False,,0.206,0.206,0.082,0.324,C,drop,False,False,"in-sample (single-prompt, no selection)"
conflict_society,Conflict: vs society,conflict,"film,book,tv",0-100,0.241,0.185,False,,0.241,0.241,0.118,0.356,B,C,True,True,"in-sample (single-prompt, no selection)"
conflict_nature,Conflict: vs nature,conflict,"film,book,tv",0-100,0.608,0.606,False,,0.608,0.608,0.522,0.682,A,A,True,True,"in-sample (single-prompt, no selection)"
conflict_technology,Conflict: vs technology,conflict,"film,book,tv",0-100,0.147,0.253,False,,0.147,0.253,0.098,0.396,B,C,True,True,"in-sample (single-prompt, no selection)"
conflict_fate,Conflict: vs fate,conflict,"film,book,tv",0-100,0.215,-0.024,False,,0.215,0.215,0.091,0.332,C,drop,False,False,"in-sample (single-prompt, no selection)"
shape_cinderella,Shape: Cinderella (rise-fall-rise),story-shape,"film,book,tv",0-100,0.34,0.28,False,,0.34,0.34,0.223,0.447,B,B,True,True,"in-sample (single-prompt, no selection)"
shape_rags_to_riches,Shape: Rags to Riches (steady rise),story-shape,"film,book,tv",0-100,0.25,0.29,False,,0.25,0.29,0.138,0.429,B,C,True,True,"in-sample (single-prompt, no selection)"
shape_riches_to_rags,Shape: Riches to Rags (steady fall),story-shape,"film,book,tv",0-100,0.26,0.25,False,,0.26,0.26,0.138,0.374,B,C,True,True,"in-sample (single-prompt, no selection)"
shape_man_in_a_hole,Shape: Man in a Hole (fall-rise),story-shape,"film,tv",0-100,0.25,,False,,0.25,0.25,0.128,0.365,B,C,True,True,"in-sample (single-prompt, no selection)"
shape_icarus,Shape: Icarus (rise-fall),story-shape,"film,tv",0-100,0.23,,False,,0.23,0.23,0.107,0.346,B,C,True,True,"in-sample (single-prompt, no selection)"
anagnorisis,Anagnorisis,structure,"film,book,tv",model-scored 1-N / 0-1,0.255,0.239,False,,0.255,0.255,0.133,0.369,Marginal,C,True,True,"in-sample (single-prompt, no selection)"
competent,Competent (avg),character,"film,book,tv",model-scored 1-N / 0-1,0.38,0.502,False,,0.38,0.502,0.373,0.612,Headline,A,True,True,"in-sample (single-prompt, no selection)"
development,Development (avg),character,"film,book,tv",model-scored 1-N / 0-1,0.419,0.448,False,,0.419,0.448,0.311,0.566,Validated,B,True,True,"in-sample (single-prompt, no selection)"
element_emotional_impact,Element importance: emotional impact,reception,"film,tv",model-scored 1-N / 0-1,0.229,,False,,0.229,0.229,0.106,0.345,Marginal,C,True,True,"in-sample (single-prompt, no selection)"
felt_about,Felt about,reception,"film,tv",model-scored 1-N / 0-1,0.314,,False,,0.314,0.314,0.196,0.423,Marginal,C,True,True,"in-sample (single-prompt, no selection)"
immersive_setting,Immersive setting (avg),structure,"film,book,tv",model-scored 1-N / 0-1,0.301,0.299,False,,0.301,0.301,0.182,0.411,Marginal,C,True,True,"in-sample (single-prompt, no selection)"
likable,Likable (main),character,"film,book,tv",model-scored 1-N / 0-1,0.614,0.294,False,,0.614,0.614,0.529,0.687,Headline,A,True,True,"in-sample (single-prompt, no selection)"
n_narrators,N narrators,narration,book,model-scored 1-N / 0-1,,0.319,False,,,0.319,0.201,0.428,Marginal,C,True,True,"in-sample (single-prompt, no selection)"
n_side_characters,N side characters,structure,"film,tv",model-scored 1-N / 0-1,0.272,,False,,0.272,0.272,0.151,0.385,Marginal,C,True,True,"in-sample (single-prompt, no selection)"
narration_switches,Narration switches,narration,book,model-scored 1-N / 0-1,,0.329,False,,,0.329,0.212,0.437,Marginal,C,True,True,"in-sample (single-prompt, no selection)"
narrator_unreliable,Narrator unreliable (avg),narration,book,model-scored 1-N / 0-1,,0.284,False,,,0.284,0.164,0.396,Marginal,C,True,True,"in-sample (single-prompt, no selection)"
