column,medium,source,needs_rescore,deployed_prompt,canonical_prompt,ensemble,low_signal,genre_track
8_how_many_major_settings_does_the_movie_contain_here_we_re_asking_you,film,prompts_master,False,"Based only on this film's plot, answer: How many major settings does the movie contain? Here, we're asking you to count at a high-level and focus on major settings only. For example, in the first Harry Potter book, the major settings would be (1) the Dursley home and (2) the Hogwarts School of Witchcraft and Wizardry - which you wouldn’t need to break down further into the Gryffindor common room, Snape’s dungeon, or Hagrid’s cabin. Give a number 1-6 (1=lowest, 6=highest). Return ONLY JSON {""v"": number}.","Based only on this film's plot, answer: How many major settings does the movie contain? Here, we're asking you to count at a high-level and focus on major settings only. For example, in the first Harry Potter book, the major settings would be (1) the Dursley home and (2) the Hogwarts School of Witchcraft and Wizardry - which you wouldn’t need to break down further into the Gryffindor common room, Snape’s dungeon, or Hagrid’s cabin. Give a number 1-6 (1=lowest, 6=highest). Return ONLY JSON {""v"": number}.",False,False,False
12b_on_a_scale_of_1_very_unsurprising_predictable_to_7_very_surprising,film,prompts_master,False,"Consider this movie. On a scale of 1 (very unsurprising / predictable) to 7 (very surprising)? Respond 1 (not at all) to 7 (extremely). Return ONLY JSON {""v"": number}.","Consider this movie. On a scale of 1 (very unsurprising / predictable) to 7 (very surprising)? Respond 1 (not at all) to 7 (extremely). Return ONLY JSON {""v"": number}.",False,False,False
12_how_well_matched_did_the_score_feel_to_the_action,film,prompts_master,False,"Rate this movie on ONE survey question from its Wikipedia plot and reception. Question: How well-matched did the score feel to the action? [2=low to 7=high]. Return ONLY JSON {""v"": number}.","Rate this film on ONE survey question from its Wikipedia plot. Question: How well-matched did the score feel to the action? [2=low to 7=high]. Return ONLY JSON {""v"": number}.",False,False,False
8a_how_likable_was_this_protagonist_by_likable_we_mean_easy_to_relate,film,prompts_master,False,"Based only on this film's plot, answer: How likable was this protagonist? By likable, we mean easy to relate to, empathize with, and root for. Give a number 1-5 (1=lowest, 5=highest). Return ONLY JSON {""v"": number}.","Based only on this film's plot, answer: How likable was this protagonist? By likable, we mean easy to relate to, empathize with, and root for. Give a number 1-5 (1=lowest, 5=highest). Return ONLY JSON {""v"": number}.",False,False,False
19_how_convincing_did_you_find_the_plot_by_convincing_we_mean_believab,film,prompts_master,False,"Rate this film on ONE survey question from its Wikipedia plot. Question: How convincing did you find the plot? By convincing we mean believable. [1=low to 7=high]. Return ONLY JSON {""v"": number}.","Rate this film on ONE survey question from its Wikipedia plot. Question: How convincing did you find the plot? By convincing we mean believable. [1=low to 7=high]. Return ONLY JSON {""v"": number}.",False,False,False
12d_on_a_scale_of_1_very_unsatisfying_to_7_very_satisfying,film,prompts_master,False,"Based only on this movie's plot, answer: On a scale of 1 (very unsatisfying) to 7 (very satisfying)? Give a number 1-7 (1=lowest, 7=highest). Return ONLY JSON {""v"": number}.","Based only on this movie's plot, answer: On a scale of 1 (very unsatisfying) to 7 (very satisfying)? Give a number 1-7 (1=lowest, 7=highest). Return ONLY JSON {""v"": number}.",False,False,False
6_how_did_you_feel_about_the_movie,film,prompts_master,False,"Consider this movie. How did you feel about the movie? Respond 1 (not at all) to 7 (extremely). Return ONLY JSON {""v"": number}.","Consider this movie. How did you feel about the movie? Respond 1 (not at all) to 7 (extremely). Return ONLY JSON {""v"": number}.",False,False,False
3_approximately_how_many_named_side_characters_are_in_this_movie_feel,film,prompts_master,False,"Consider this movie. Approximately how many named side characters are in this movie? (Feel free to guesstima Respond 2 (not at all) to 50 (extremely). Return ONLY JSON {""v"": number}.","Consider this movie. Approximately how many named side characters are in this movie? (Feel free to guesstima Respond 2 (not at all) to 50 (extremely). Return ONLY JSON {""v"": number}.",False,False,False
14_how_important_was_the_score_to_your_experience_of_the_movie,film,prompts_master,False,"Consider this movie. How important was the score to your experience of the movie? Respond 1 (not at all) to 7 (extremely). Return ONLY JSON {""v"": number}.","Consider this movie. How important was the score to your experience of the movie? Respond 1 (not at all) to 7 (extremely). Return ONLY JSON {""v"": number}.",False,False,False
1_in_your_opinion_how_important_was_the_setting_and_world_building_to,film,prompts_master,False,"Based only on this movie's plot, answer: In your opinion, how important was the setting and world-building to your experience of Give a number 1-5 (1=lowest, 5=highest). Return ONLY JSON {""v"": number}.","Based only on this film's plot, answer: In your opinion, how important was the setting and world-building to your experience of the movie as a whole, relative to other elements like character, plot and pace, theme, mood, and writing style? Give a number 1-5 (1=lowest, 5=highest). Return ONLY JSON {""v"": number}.",False,False,False
4_how_familiar_was_the_world_of_the_movie_by_familiar_we_mean_a_settin,film,prompts_master,False,"Consider this movie. How familiar was the world of the movie? By familiar we mean a setting that you know we Respond 1 (not at all) to 7 (extremely). Return ONLY JSON {""v"": number}.","Consider this film. How familiar was the world of the movie? By familiar we mean a setting that you know well, either from your own lived experiences or from other movies, books, or media. Respond 1 (not at all) to 7 (extremely). Return ONLY JSON {""v"": number}.",False,False,False
8_how_engaging_did_you_find_the_dialogue_in_the_movie,film,prompts_master,False,"Based only on this movie's plot, answer: How engaging did you find the dialogue in the movie? Give a number 1-7 (1=lowest, 7=highest). Return ONLY JSON {""v"": number}.","Based only on this movie's plot, answer: How engaging did you find the dialogue in the movie? Give a number 1-7 (1=lowest, 7=highest). Return ONLY JSON {""v"": number}.",False,False,False
12c_on_a_scale_of_1_very_confusing_to_7_very_easy_to_understand,film,prompts_master,False,"Consider this movie. On a scale of 1 (very confusing) to 7 (very easy-to-understand)? Respond 1 (not at all) to 7 (extremely). Return ONLY JSON {""v"": number}.","Consider this movie. On a scale of 1 (very confusing) to 7 (very easy-to-understand)? Respond 1 (not at all) to 7 (extremely). Return ONLY JSON {""v"": number}.",False,False,False
mood_Bleak,film,prompts_master,False,"On a scale 0-100, how strongly does the mood 'Bleak' apply to this movie based on its plot? Return ONLY JSON {""v"": number}.","On a scale 0-100, how strongly does the mood 'Bleak' apply to this movie based on its plot? Return ONLY JSON {""v"": number}.",False,False,False
8c_how_proactive_was_this_protagonist_by_proactive_we_mean_motivated_a,film,prompts_master,False,"Consider this film. How proactive was this protagonist? By proactive, we mean motivated and taking steps to reach their goals. Respond 1 (not at all) to 5 (extremely). Return ONLY JSON {""v"": number}.","Consider this film. How proactive was this protagonist? By proactive, we mean motivated and taking steps to reach their goals. Respond 1 (not at all) to 5 (extremely). Return ONLY JSON {""v"": number}.",False,False,False
12_how_emotionally_invested_were_you_in_this_protagonist,film,prompts_master,False,"Consider this movie. How emotionally invested were you in this protagonist? Respond 1 (not at all) to 7 (extremely). Return ONLY JSON {""v"": number}.","Consider this movie. How emotionally invested were you in this protagonist? Respond 1 (not at all) to 7 (extremely). Return ONLY JSON {""v"": number}.",False,False,False
12a_on_a_scale_of_1_entirely_unresolved_to_7_entirely_resolved,film,prompts_master,False,"Based only on this movie's plot, answer: On a scale of 1 (entirely unresolved) to 7 (entirely resolved)? Give a number 1-7 (1=lowest, 7=highest). Return ONLY JSON {""v"": number}.","Based only on this movie's plot, answer: On a scale of 1 (entirely unresolved) to 7 (entirely resolved)? Give a number 1-7 (1=lowest, 7=highest). Return ONLY JSON {""v"": number}.",False,False,False
mood_Dark,film,prompts_master,False,"On a scale 0-100, how strongly does the mood 'Dark' apply to this movie based on its plot? Return ONLY JSON {""v"": number}.","On a scale 0-100, how strongly does the mood 'Dark' apply to this movie based on its plot? Return ONLY JSON {""v"": number}.",False,False,False
4_after_having_watched_the_movie_how_glad_are_you_to_have_devoted_time,film,prompts_master,False,"Consider this movie. After having watched the movie, how glad are you to have devoted time and energy to it? Respond 1 (not at all) to 5 (extremely). Return ONLY JSON {""v"": number}.","Consider this movie. After having watched the movie, how glad are you to have devoted time and energy to it? Respond 1 (not at all) to 5 (extremely). Return ONLY JSON {""v"": number}.",False,False,False
5_how_important_was_the_visual_style_to_your_experience_of_the_movie_a,film,prompts_master,False,"Rate this movie on ONE survey question from its Wikipedia plot and reception. Question: How important was the visual style to your experience of the movie as a whole? [1=low to 7=high]. Return ONLY JSON {""v"": number}.","Rate this film on ONE survey question from its Wikipedia plot. Question: How important was the visual style to your experience of the movie as a whole? [1=low to 7=high]. Return ONLY JSON {""v"": number}.",False,False,False
11_how_real_did_this_protagonist_feel_to_you,film,prompts_master,False,"Rate this film on ONE survey question from its Wikipedia plot. Question: How real did this protagonist feel to you? [1=low to 7=high]. Return ONLY JSON {""v"": number}.","Rate this film on ONE survey question from its Wikipedia plot. Question: How real did this protagonist feel to you? [1=low to 7=high]. Return ONLY JSON {""v"": number}.",False,False,False
mood_Cozy,film,prompts_master,False,"On a scale 0-100, how strongly does the mood 'Cozy' apply to this movie based on its plot? Return ONLY JSON {""v"": number}.","On a scale 0-100, how strongly does the mood 'Cozy' apply to this movie based on its plot? Return ONLY JSON {""v"": number}.",False,False,False
identity_relevance,film,prompts_master,False,"You are estimating audience-survey ratings for a movie from its plot. For the main protagonist, predict how RELEVANT their marginalized-group identity (race, gender, class, etc.) is to their experience in the story: 1=not at all relevant, 5=extremely relevant. If the protagonist has no salient marginalized identity, answer 1. Return ONLY JSON {""v"": number}.","You are estimating audience-survey ratings for a movie from its plot. For the main protagonist, predict how RELEVANT their marginalized-group identity (race, gender, class, etc.) is to their experience in the story: 1=not at all relevant, 5=extremely relevant. If the protagonist has no salient marginalized identity, answer 1. Return ONLY JSON {""v"": number}.",False,False,False
mood_Optimistic,film,prompts_master,False,"On a scale 0-100, how strongly does the mood 'Optimistic' apply to this movie based on its plot? Return ONLY JSON {""v"": number}.","On a scale 0-100, how strongly does the mood 'Optimistic' apply to this movie based on its plot? Return ONLY JSON {""v"": number}.",False,False,False
mood_Chaotic,film,prompts_master,False,"On a scale 0-100, how strongly does the mood 'Chaotic' apply to this movie based on its plot? Return ONLY JSON {""v"": number}.","On a scale 0-100, how strongly does the mood 'Chaotic' apply to this movie based on its plot? Return ONLY JSON {""v"": number}.",False,False,False
15_in_your_opinion_how_would_you_rate_the_quality_of_the_character_wri,film,prompts_master,False,"Consider this movie. In your opinion, how would you rate the quality of the character writing in this movie Respond 1 (not at all) to 7 (extremely). Return ONLY JSON {""v"": number}.","Consider this film. In your opinion, how would you rate the quality of the character writing in this movie, on a scale of 1-7? Respond 1 (not at all) to 7 (extremely). Return ONLY JSON {""v"": number}.",False,False,False
13_how_relatable_did_you_find_this_protagonist,film,prompts_master,False,"Rate this film on ONE survey question from its Wikipedia plot. Question: How relatable did you find this protagonist? [1=low to 7=high]. Return ONLY JSON {""v"": number}.","Rate this film on ONE survey question from its Wikipedia plot. Question: How relatable did you find this protagonist? [1=low to 7=high]. Return ONLY JSON {""v"": number}.",False,False,False
mood_Challenging,film,prompts_master,False,"On a scale 0-100, how strongly does the mood 'Challenging' apply to this movie based on its plot? Return ONLY JSON {""v"": number}.","On a scale 0-100, how strongly does the mood 'Challenging' apply to this movie based on its plot? Return ONLY JSON {""v"": number}.",False,False,False
3_how_evocative_did_you_find_the_visual_style_by_evocative_we_mean_aff,film,prompts_master,False,"Based only on this film's plot, answer: How evocative did you find the visual style? By evocative we mean affecting and memorable. Give a number 1-7 (1=lowest, 7=highest). Return ONLY JSON {""v"": number}.","Based only on this film's plot, answer: How evocative did you find the visual style? By evocative we mean affecting and memorable. Give a number 1-7 (1=lowest, 7=highest). Return ONLY JSON {""v"": number}.",False,False,False
mood_Melancholic,film,prompts_master,False,"On a scale 0-100, how strongly does the mood 'Melancholic' apply to this movie based on its plot? Return ONLY JSON {""v"": number}.","On a scale 0-100, how strongly does the mood 'Melancholic' apply to this movie based on its plot? Return ONLY JSON {""v"": number}.",False,False,False
18_how_compelling_did_you_find_the_plot_by_compelling_we_mean_interest,film,prompts_master,False,"Based only on this movie's plot, answer: How compelling did you find the plot? By compelling we mean interesting and absorbing. Give a number 2-7 (2=lowest, 7=highest). Return ONLY JSON {""v"": number}.","Based only on this movie's plot, answer: How compelling did you find the plot? By compelling we mean interesting and absorbing. Give a number 2-7 (2=lowest, 7=highest). Return ONLY JSON {""v"": number}.",False,False,False
mood_Epic,film,prompts_master,False,"On a scale 0-100, how strongly does the mood 'Epic' apply to this movie based on its plot? Return ONLY JSON {""v"": number}.","On a scale 0-100, how strongly does the mood 'Epic' apply to this movie based on its plot? Return ONLY JSON {""v"": number}.",False,False,False
4_how_important_would_you_say_the_side_characters_are_in_this_movie,film,prompts_master,False,"Based only on this movie's plot, answer: How important would you say the side characters are in this movie? Give a number 1-5 (1=lowest, 5=highest). Return ONLY JSON {""v"": number}.","Based only on this movie's plot, answer: How important would you say the side characters are in this movie? Give a number 1-5 (1=lowest, 5=highest). Return ONLY JSON {""v"": number}.",False,False,False
mood_Dreamy,film,prompts_master,False,"On a scale 0-100, how strongly does the mood 'Dreamy' apply to this movie based on its plot? Return ONLY JSON {""v"": number}.","On a scale 0-100, how strongly does the mood 'Dreamy' apply to this movie based on its plot? Return ONLY JSON {""v"": number}.",False,False,False
13_how_much_did_you_like_the_score,film,prompts_master,False,"Consider this movie. How much did you like the score? Respond 2 (not at all) to 7 (extremely). Return ONLY JSON {""v"": number}.","Consider this movie. How much did you like the score? Respond 2 (not at all) to 7 (extremely). Return ONLY JSON {""v"": number}.",False,False,False
mood_Mysterious,film,prompts_master,False,"On a scale 0-100, how strongly does the mood 'Mysterious' apply to this movie based on its plot? Return ONLY JSON {""v"": number}.","On a scale 0-100, how strongly does the mood 'Mysterious' apply to this movie based on its plot? Return ONLY JSON {""v"": number}.",False,False,False
mood_Tragic,film,prompts_master,False,"On a scale 0-100, how strongly does the mood 'Tragic' apply to this movie based on its plot? Return ONLY JSON {""v"": number}.","On a scale 0-100, how strongly does the mood 'Tragic' apply to this movie based on its plot? Return ONLY JSON {""v"": number}.",False,False,False
acting_Physical,film,prompts_master,False,"On a scale 0-100, how strongly does 'Physical' describe the acting of this movie based on its plot? Return ONLY JSON {""v"": number}.","On a scale 0-100, how strongly does 'Physical' describe the acting of this movie based on its plot? Return ONLY JSON {""v"": number}.",False,False,False
mood_Funny,film,prompts_master,False,"On a scale 0-100, how strongly does the mood 'Funny' apply to this movie based on its plot? Return ONLY JSON {""v"": number}.","On a scale 0-100, how strongly does the mood 'Funny' apply to this movie based on its plot? Return ONLY JSON {""v"": number}.",False,False,False
1_in_your_opinion_how_important_were_the_characters_to_your_experience,film,prompts_master,False,"Consider this movie. In your opinion, how important were the characters to your experience of the movie as a Respond 1 (not at all) to 5 (extremely). Return ONLY JSON {""v"": number}.","Consider this film. In your opinion, how important were the characters to your experience of the movie as a whole, relative to other elements like setting and world-building, plot, pace, theme, tone or mood, and writing style? Respond 1 (not at all) to 5 (extremely). Return ONLY JSON {""v"": number}.",False,False,False
visual_Stylized,film,prompts_master,False,"On a scale 0-100, how strongly does 'Stylized' describe the visual style of this movie based on its plot? Return ONLY JSON {""v"": number}.","On a scale 0-100, how strongly does 'Stylized' describe the visual style of this movie based on its plot? Return ONLY JSON {""v"": number}.",False,False,False
mood_Whimsical,film,prompts_master,False,"On a scale 0-100, how strongly does the mood 'Whimsical' apply to this movie based on its plot? Return ONLY JSON {""v"": number}.","On a scale 0-100, how strongly does the mood 'Whimsical' apply to this movie based on its plot? Return ONLY JSON {""v"": number}.",False,False,False
mood_Romantic,film,prompts_master,False,"On a scale 0-100, how strongly does the mood 'Romantic' apply to this movie based on its plot? Return ONLY JSON {""v"": number}.","On a scale 0-100, how strongly does the mood 'Romantic' apply to this movie based on its plot? Return ONLY JSON {""v"": number}.",False,False,False
mood_Eerie,film,prompts_master,False,"On a scale 0-100, how strongly does the mood 'Eerie' apply to this movie based on its plot? Return ONLY JSON {""v"": number}.","On a scale 0-100, how strongly does the mood 'Eerie' apply to this movie based on its plot? Return ONLY JSON {""v"": number}.",False,False,False
visual_Sharp,film,prompts_master,False,"On a scale 0-100, how strongly does 'Sharp' describe the visual style of this movie based on its plot? Return ONLY JSON {""v"": number}.","On a scale 0-100, how strongly does 'Sharp' describe the visual style of this movie based on its plot? Return ONLY JSON {""v"": number}.",False,False,False
mood_Chilling,film,prompts_master,False,"From this movie's plot, does the mood 'Chilling' apply? Return ONLY JSON {""v"": 0 or 1}.","From this movie's plot, does the mood 'Chilling' apply? Return ONLY JSON {""v"": 0 or 1}.",False,False,False
acting_Theatrical,film,prompts_master,False,"On a scale 0-100, how strongly does 'Theatrical' describe the acting of this movie based on its plot? Return ONLY JSON {""v"": number}.","On a scale 0-100, how strongly does 'Theatrical' describe the acting of this movie based on its plot? Return ONLY JSON {""v"": number}.",False,False,False
mood_Bittersweet,film,prompts_master,False,"On a scale 0-100, how strongly does the mood 'Bittersweet' apply to this movie based on its plot? Return ONLY JSON {""v"": number}.","On a scale 0-100, how strongly does the mood 'Bittersweet' apply to this movie based on its plot? Return ONLY JSON {""v"": number}.",False,False,False
mood_Hopeful,film,prompts_master,False,"On a scale 0-100, how strongly does the mood 'Hopeful' apply to this movie based on its plot? Return ONLY JSON {""v"": number}.","On a scale 0-100, how strongly does the mood 'Hopeful' apply to this movie based on its plot? Return ONLY JSON {""v"": number}.",False,False,False
visual_Handheld,film,prompts_master,False,"On a scale 0-100, how strongly does 'Handheld' describe the visual style of this movie based on its plot? Return ONLY JSON {""v"": number}.","On a scale 0-100, how strongly does 'Handheld' describe the visual style of this movie based on its plot? Return ONLY JSON {""v"": number}.",False,False,False
score_Ominous,film,prompts_master,False,"On a scale 0-100, how strongly does 'Ominous' describe the musical score of this movie based on its plot? Return ONLY JSON {""v"": number}.","On a scale 0-100, how strongly does 'Ominous' describe the musical score of this movie based on its plot? Return ONLY JSON {""v"": number}.",False,False,False
visual_Gritty,film,prompts_master,False,"On a scale 0-100, how strongly does 'Gritty' describe the visual style of this movie based on its plot? Return ONLY JSON {""v"": number}.","On a scale 0-100, how strongly does 'Gritty' describe the visual style of this movie based on its plot? Return ONLY JSON {""v"": number}.",False,False,False
mood_Tense,film,prompts_master,False,"On a scale 0-100, how strongly does the mood 'Tense' apply to this movie based on its plot? Return ONLY JSON {""v"": number}.","On a scale 0-100, how strongly does the mood 'Tense' apply to this movie based on its plot? Return ONLY JSON {""v"": number}.",False,False,False
acting_Deadpan,film,prompts_master,False,"On a scale 0-100, how strongly does 'Deadpan' describe the acting of this movie based on its plot? Return ONLY JSON {""v"": number}.","On a scale 0-100, how strongly does 'Deadpan' describe the acting of this movie based on its plot? Return ONLY JSON {""v"": number}.",False,True,False
acting_Intense,film,prompts_master,False,"On a scale 0-100, how strongly does 'Intense' describe the acting of this movie based on its plot? Return ONLY JSON {""v"": number}.","On a scale 0-100, how strongly does 'Intense' describe the acting of this movie based on its plot? Return ONLY JSON {""v"": number}.",False,False,False
score_Melodic,film,prompts_master,False,"On a scale 0-100, how strongly does 'Melodic' describe the musical score of this movie based on its plot? Return ONLY JSON {""v"": number}.","On a scale 0-100, how strongly does 'Melodic' describe the musical score of this movie based on its plot? Return ONLY JSON {""v"": number}.",False,False,False
score_Rock_n__Roll,film,prompts_master,False,"On a scale 0-100, how strongly does 'Rock n' Roll' describe the musical score of this movie based on its plot? Return ONLY JSON {""v"": number}.","On a scale 0-100, how strongly does 'Rock n' Roll' describe the musical score of this movie based on its plot? Return ONLY JSON {""v"": number}.",False,True,False
mood_Energetic,film,prompts_master,False,"On a scale 0-100, how strongly does the mood 'Energetic' apply to this movie based on its plot? Return ONLY JSON {""v"": number}.","On a scale 0-100, how strongly does the mood 'Energetic' apply to this movie based on its plot? Return ONLY JSON {""v"": number}.",False,False,False
mood_Sad,film,prompts_master,False,"On a scale 0-100, how strongly does the mood 'Sad' apply to this movie based on its plot? Return ONLY JSON {""v"": number}.","On a scale 0-100, how strongly does the mood 'Sad' apply to this movie based on its plot? Return ONLY JSON {""v"": number}.",False,False,False
acting_Raw,film,prompts_master,False,"On a scale 0-100, how strongly does 'Raw' describe the acting of this movie based on its plot? Return ONLY JSON {""v"": number}.","On a scale 0-100, how strongly does 'Raw' describe the acting of this movie based on its plot? Return ONLY JSON {""v"": number}.",False,False,False
mood_Raw,film,prompts_master,False,"On a scale 0-100, how strongly does the mood 'Raw' apply to this movie based on its plot? Return ONLY JSON {""v"": number}.","On a scale 0-100, how strongly does the mood 'Raw' apply to this movie based on its plot? Return ONLY JSON {""v"": number}.",False,False,False
acting_Method,film,prompts_master,False,"On a scale 0-100, how strongly does 'Method' describe the acting of this movie based on its plot? Return ONLY JSON {""v"": number}.","On a scale 0-100, how strongly does 'Method' describe the acting of this movie based on its plot? Return ONLY JSON {""v"": number}.",False,False,False
acting_Manic,film,prompts_master,False,"On a scale 0-100, how strongly does 'Manic' describe the acting of this movie based on its plot? Return ONLY JSON {""v"": number}.","On a scale 0-100, how strongly does 'Manic' describe the acting of this movie based on its plot? Return ONLY JSON {""v"": number}.",False,False,False
visual_Clean,film,prompts_master,False,"On a scale 0-100, how strongly does 'Clean' describe the visual style of this movie based on its plot? Return ONLY JSON {""v"": number}.","On a scale 0-100, how strongly does 'Clean' describe the visual style of this movie based on its plot? Return ONLY JSON {""v"": number}.",False,False,False
mood_Adventurous,film,prompts_master,False,"On a scale 0-100, how strongly does the mood 'Adventurous' apply to this movie based on its plot? Return ONLY JSON {""v"": number}.","On a scale 0-100, how strongly does the mood 'Adventurous' apply to this movie based on its plot? Return ONLY JSON {""v"": number}.",False,False,False
score_Orchestral,film,prompts_master,False,"On a scale 0-100, how strongly does 'Orchestral' describe the musical score of this movie based on its plot? Return ONLY JSON {""v"": number}.","On a scale 0-100, how strongly does 'Orchestral' describe the musical score of this movie based on its plot? Return ONLY JSON {""v"": number}.",False,False,False
visual_Natural,film,prompts_master,False,"On a scale 0-100, how strongly does 'Natural' describe the visual style of this movie based on its plot? Return ONLY JSON {""v"": number}.","On a scale 0-100, how strongly does 'Natural' describe the visual style of this movie based on its plot? Return ONLY JSON {""v"": number}.",False,False,False
arc_competent_Middle,film,prompts_master,False,"Consider the single MAIN protagonist of this movie. At the Middle of the story, how competent (effective at what they attempt)? Answer 1-5 where 1=very incompetent, 5=very competent. Return ONLY JSON {""v"": number}.","Consider the single MAIN protagonist of this movie. At the Middle of the story, how competent (effective at what they attempt)? Answer 1-5 where 1=very incompetent, 5=very competent. Return ONLY JSON {""v"": number}.",False,False,False
mood_Gritty,film,prompts_master,False,"On a scale 0-100, how strongly does the mood 'Gritty' apply to this movie based on its plot? Return ONLY JSON {""v"": number}.","On a scale 0-100, how strongly does the mood 'Gritty' apply to this movie based on its plot? Return ONLY JSON {""v"": number}.",False,False,False
3_how_realistic_was_the_world_of_the_movie_by_realistic_we_mean_plausi,film,prompts_master,False,"Based only on this film's plot, answer: How realistic was the world of the movie? By realistic we mean plausible - a faithful or true-to-life representation. Give a number 1-7 (1=lowest, 7=highest). Return ONLY JSON {""v"": number}.","Based only on this film's plot, answer: How realistic was the world of the movie? By realistic we mean plausible - a faithful or true-to-life representation. Give a number 1-7 (1=lowest, 7=highest). Return ONLY JSON {""v"": number}.",False,False,False
