canonical_column,attribute,construct,status,media,scale,definition,film_r,book_r,tier,cross_medium,source_column,validated,heldout_tier,heldout_r,heldout_ci_lo,heldout_ci_hi
visual_Muted,Visual: Muted,texture,main,"film,tv",0--100,"Strength of the ""Muted"" visual descriptor implied by the summary",0.56,,A,False,visual_Muted,True,A,0.56,0.467,0.641
3_how_realistic_was_the_world_of_the_movie_by_realistic_we_mean_plausi,realistic world,structure,main,"film,tv",1--7,How realistic was the world of the movie?,0.749,0.6,A,True,3_how_realistic_was_the_world_of_the_movie_by_realistic_we_mean_plausi,True,A,0.749,0.688,0.8
visual_Gritty,Visual: Gritty,texture,main,"film,tv",0--100,"Strength of the ""Gritty"" visual descriptor implied by the summary",0.54,,A,False,visual_Gritty,True,A,0.54,0.444,0.624
1_how_many_protagonists_were_there_a_protagonist_is_the_person_or_enti,# protagonists,structure,main,"film,tv",1--6,How many protagonists were there?,0.482,0.45,A,True,1_how_many_protagonists_were_there_a_protagonist_is_the_person_or_enti,True,A,0.482,0.379,0.573
visual_Bright,Visual: Bright,texture,main,"film,tv",0--100,"Strength of the ""Bright"" visual descriptor implied by the summary",0.6,,A,False,visual_Bright,True,A,0.6,0.513,0.675
score_Orchestral,Score: Orchestral,texture,main,"film,tv",0--100,"Strength of the ""Orchestral"" score descriptor implied by the summary",0.49,,A,False,score_Orchestral,True,A,0.49,0.388,0.58
12a_on_a_scale_of_1_entirely_unresolved_to_7_entirely_resolved,ending resolved,structure,main,"film,tv",1--7,On a scale of 1 (entirely unresolved) to 7 (entirely resolved)?,0.54,0.313,A,True,12a_on_a_scale_of_1_entirely_unresolved_to_7_entirely_resolved,True,A,0.54,0.444,0.624
7_overall_how_relevant_was_world_building_to_the_movie_world_building,world-building relevance,structure,main,"film,tv",1--5,"Overall, how relevant was world-building to the movie?",0.599,0.4,A,True,7_overall_how_relevant_was_world_building_to_the_movie_world_building,True,A,0.599,0.512,0.674
visual_Handheld,Visual: Handheld,texture,main,"film,tv",0--100,"Strength of the ""Handheld"" visual descriptor implied by the summary",0.46,,A,False,visual_Handheld,True,A,0.46,0.354,0.554
12b_on_a_scale_of_1_very_unsurprising_predictable_to_7_very_surprising,ending surprising,structure,main,"film,tv",1--7,On a scale of 1 (very unsurprising / predictable) to 7 (very surprising)?,0.5,0.394,A,True,12b_on_a_scale_of_1_very_unsurprising_predictable_to_7_very_surprising,True,A,0.5,0.399,0.589
score_Melodic,Score: Melodic,texture,main,"film,tv",0--100,"Strength of the ""Melodic"" score descriptor implied by the summary",0.49,,A,False,score_Melodic,True,A,0.49,0.388,0.58
acting_Brooding,Acting: Brooding,texture,main,"film,tv",0--100,"Strength of the ""Brooding"" acting descriptor implied by the summary",0.48,,A,False,acting_Brooding,True,A,0.48,0.377,0.572
visual_Slow,Visual: Slow,texture,main,"film,tv",0--100,"Strength of the ""Slow"" visual descriptor implied by the summary",0.4,,A,False,visual_Slow,True,B,0.4,0.288,0.501
visual_Stylized,Visual: Stylized,texture,main,"film,tv",0--100,"Strength of the ""Stylized"" visual descriptor implied by the summary",0.49,,A,False,visual_Stylized,True,A,0.49,0.388,0.58
score_Rock_n__Roll,Score: Rock n' Roll,texture,main,"film,tv",0--100,"Strength of the ""Rock n' Roll"" score descriptor implied by the summary",0.43,,A,False,score_Rock_n__Roll,True,B,0.43,0.321,0.528
acting_Deadpan,Acting: Deadpan,texture,main,"film,tv",0--100,"Strength of the ""Deadpan"" acting descriptor implied by the summary",0.37,,A,False,acting_Deadpan,True,B,0.37,0.256,0.474
score_Electronic,Score: Electronic,texture,main,"film,tv",0--100,"Strength of the ""Electronic"" score descriptor implied by the summary",0.6,,A,False,score_Electronic,True,A,0.6,0.513,0.675
5_in_your_opinion_how_would_you_rate_the_quality_of_the_setting_and_wo,setting/world quality,structure,main,"film,tv",1--7,"In your opinion, how would you rate the quality of the setting and world-building …",0.431,0.249,A,True,5_in_your_opinion_how_would_you_rate_the_quality_of_the_setting_and_wo,True,B,0.431,0.322,0.528
8a_how_likable_was_this_protagonist_by_likable_we_mean_easy_to_relate,protagonist likable,structure,main,"film,book,tv",1--5,How likable was this protagonist?,0.584,,A,False,8a_how_likable_was_this_protagonist_by_likable_we_mean_easy_to_relate,True,A,0.584,0.494,0.661
score_Grand,Score: Grand,texture,main,"film,tv",0--100,"Strength of the ""Grand"" score descriptor implied by the summary",0.19,,C,False,score_Grand,False,drop,0.19,0.065,0.309
19_how_convincing_did_you_find_the_plot_by_convincing_we_mean_believab,plot convincing,structure,main,"film,tv",1--7,How convincing did you find the plot?,0.474,0.214,A,False,19_how_convincing_did_you_find_the_plot_by_convincing_we_mean_believab,True,A,0.474,0.37,0.566
7_now_let_s_talk_pun_intended_about_dialogue_in_your_opinion_how_was_t,dialogue overall,structure,main,"film,tv",2--5,"Now, let's talk (pun intended) about dialogue! In your opinion …",0.464,,A,False,7_now_let_s_talk_pun_intended_about_dialogue_in_your_opinion_how_was_t,True,A,0.464,0.359,0.557
7_on_the_whole_how_would_you_describe_the_pace_of_the_movie_pace_is_th,pace,structure,main,"film,tv",1--5,"On the whole, how would you describe the pace of the movie?",0.43,0.364,A,True,7_on_the_whole_how_would_you_describe_the_pace_of_the_movie_pace_is_th,True,B,0.43,0.321,0.528
acting_Raw,Acting: Raw,texture,main,"film,tv",0--100,"Strength of the ""Raw"" acting descriptor implied by the summary",0.33,,A,False,acting_Raw,True,B,0.33,0.213,0.438
8_how_engaging_did_you_find_the_dialogue_in_the_movie,dialogue engaging,structure,main,"film,tv",1--7,How engaging did you find the dialogue in the movie?,0.41,,A,False,8_how_engaging_did_you_find_the_dialogue_in_the_movie,True,B,0.41,0.299,0.51
mood_Sad,Sad,mood,main,"film,book,tv",0--100,"Intensity of the ""Sad"" mood evoked by the story",0.34,0.481,--,False,mood_Sad,True,B,0.34,0.223,0.447
mood_Optimistic,Optimistic,mood,main,"film,book,tv",0--100,"Intensity of the ""Optimistic"" mood evoked by the story",0.43,0.302,--,False,mood_Optimistic,True,B,0.43,0.321,0.528
mood_Quirky,Quirky,mood,main,"film,book,tv",0--100,"Intensity of the ""Quirky"" mood evoked by the story",0.52,0.628,--,False,mood_Quirky,True,A,0.52,0.422,0.606
mood_Raw,Raw,mood,main,"film,book,tv",0--100,"Intensity of the ""Raw"" mood evoked by the story",0.41,0.417,--,False,mood_Raw,True,B,0.41,0.299,0.51
mood_Reflective,Reflective,mood,main,"film,book,tv",0--100,"Intensity of the ""Reflective"" mood evoked by the story",0.1,,--,False,mood_Reflective,False,drop,0.1,-0.026,0.223
mood_Romantic,Romantic,mood,main,"film,book,tv",0--100,"Intensity of the ""Romantic"" mood evoked by the story",0.6,0.324,--,False,mood_Romantic,True,A,0.6,0.513,0.675
mood_Surreal,Surreal,mood,main,"film,book,tv",0--100,"Intensity of the ""Surreal"" mood evoked by the story",0.31,0.609,--,False,mood_Surreal,True,C,0.31,0.191,0.42
mood_Tense,Tense,mood,main,"film,book,tv",0--100,"Intensity of the ""Tense"" mood evoked by the story",0.52,0.525,--,False,mood_Tense,True,A,0.52,0.422,0.606
mood_Tragic,Tragic,mood,main,"film,book,tv",0--100,"Intensity of the ""Tragic"" mood evoked by the story",0.48,0.522,--,False,mood_Tragic,True,A,0.48,0.377,0.572
mood_Whimsical,Whimsical,mood,main,"film,book,tv",0--100,"Intensity of the ""Whimsical"" mood evoked by the story",0.43,0.608,--,False,mood_Whimsical,True,B,0.43,0.321,0.528
mood_Wistful,Wistful,mood,main,"film,book,tv",0--100,"Intensity of the ""Wistful"" mood evoked by the story",0.15,0.103,--,False,mood_Wistful,False,drop,0.15,0.024,0.271
mood_Lighthearted,Lighthearted,mood,main,"film,book,tv",0--100,"Intensity of the ""Lighthearted"" mood evoked by the story",0.6,0.672,--,False,mood_Lighthearted,True,A,0.6,0.513,0.675
visual_Clean,Visual: Clean,texture,main,"film,tv",0--100,"Strength of the ""Clean"" visual descriptor implied by the summary",0.41,,A,False,visual_Clean,True,B,0.41,0.299,0.51
mood_Melancholic,Melancholic,mood,main,"film,book,tv",0--100,"Intensity of the ""Melancholic"" mood evoked by the story",0.38,0.422,--,False,mood_Melancholic,True,B,0.38,0.267,0.483
mood_Mysterious,Mysterious,mood,main,"film,book,tv",0--100,"Intensity of the ""Mysterious"" mood evoked by the story",0.4,0.439,--,False,mood_Mysterious,True,B,0.4,0.288,0.501
mood_Inspirational,Inspirational,mood,main,"film,book,tv",0--100,"Intensity of the ""Inspirational"" mood evoked by the story",0.33,0.423,--,False,mood_Inspirational,True,B,0.33,0.213,0.438
mood_Cozy,Cozy,mood,main,"film,book,tv",0--100,"Intensity of the ""Cozy"" mood evoked by the story",0.35,0.616,--,False,mood_Cozy,True,B,0.35,0.234,0.456
5_to_what_extent_did_you_feel_moved_by_this_movie_on_an_emotional_basi,emotionally moved,structure,main,"film,tv",1--5,To what extent did you feel moved by this movie on an emotional basis?,0.262,0.29,A,True,5_to_what_extent_did_you_feel_moved_by_this_movie_on_an_emotional_basi,True,C,0.262,0.141,0.376
mood_Hopeful,Hopeful,mood,main,"film,book,tv",0--100,"Intensity of the ""Hopeful"" mood evoked by the story",0.38,0.538,--,False,mood_Hopeful,True,B,0.38,0.267,0.483
mood_Bittersweet,Bittersweet,mood,main,"film,book,tv",0--100,"Intensity of the ""Bittersweet"" mood evoked by the story",0.24,0.362,--,False,mood_Bittersweet,True,C,0.24,0.117,0.355
mood_Bleak,Bleak,mood,main,"film,book,tv",0--100,"Intensity of the ""Bleak"" mood evoked by the story",0.41,0.567,--,False,mood_Bleak,True,B,0.41,0.299,0.51
mood_Chaotic,Chaotic,mood,main,"film,book,tv",0--100,"Intensity of the ""Chaotic"" mood evoked by the story",0.27,0.353,--,False,mood_Chaotic,True,C,0.27,0.149,0.383
mood_Challenging,Challenging,mood,main,"film,book,tv",0--100,"Intensity of the ""Challenging"" mood evoked by the story",0.17,0.282,--,False,mood_Challenging,True,C,0.17,0.045,0.29
mood_Chilling,Chilling,mood,main,"film,book,tv",0--100,"Intensity of the ""Chilling"" mood evoked by the story",0.34,0.373,--,False,mood_Chilling,True,B,0.34,0.223,0.447
mood_Adventurous,Adventurous,mood,main,"film,book,tv",0--100,"Intensity of the ""Adventurous"" mood evoked by the story",0.57,0.507,--,False,mood_Adventurous,True,A,0.57,0.478,0.649
mood_Dark,Dark,mood,main,"film,book,tv",0--100,"Intensity of the ""Dark"" mood evoked by the story",0.53,0.511,--,False,mood_Dark,True,A,0.53,0.433,0.615
mood_Funny,Funny,mood,main,"film,book,tv",0--100,"Intensity of the ""Funny"" mood evoked by the story",0.69,0.739,--,False,mood_Funny,True,A,0.69,0.618,0.751
mood_Heartwarming,Heartwarming,mood,main,"film,book,tv",0--100,"Intensity of the ""Heartwarming"" mood evoked by the story",0.62,0.591,--,False,mood_Heartwarming,True,A,0.62,0.536,0.692
mood_Dreamy,Dreamy,mood,main,"film,book,tv",0--100,"Intensity of the ""Dreamy"" mood evoked by the story",0.37,0.422,--,False,mood_Dreamy,True,B,0.37,0.256,0.474
mood_Gritty,Gritty,mood,main,"film,book,tv",0--100,"Intensity of the ""Gritty"" mood evoked by the story",0.4,0.421,--,False,mood_Gritty,True,B,0.4,0.288,0.501
mood_Epic,Epic,mood,main,"film,book,tv",0--100,"Intensity of the ""Epic"" mood evoked by the story",0.49,0.391,--,False,mood_Epic,True,A,0.49,0.388,0.58
mood_Energetic,Energetic,mood,main,"film,book,tv",0--100,"Intensity of the ""Energetic"" mood evoked by the story",0.47,0.599,--,False,mood_Energetic,True,A,0.47,0.366,0.563
mood_Eerie,Eerie,mood,main,"film,book,tv",0--100,"Intensity of the ""Eerie"" mood evoked by the story",0.52,0.488,--,False,mood_Eerie,True,A,0.52,0.422,0.606
score_Jazz,Score: Jazz,texture,main,"film,tv",0--100,"Strength of the ""Jazz"" score descriptor implied by the summary",0.37,,A,False,score_Jazz,True,B,0.37,0.256,0.474
13_how_relatable_did_you_find_this_protagonist,protagonist relatable,structure,main,"film,tv",1--7,How relatable did you find this protagonist?,0.209,0.24,A,True,13_how_relatable_did_you_find_this_protagonist,True,C,0.24,0.085,0.384
score_Dissonant,Score: Dissonant,texture,main,"film,tv",0--100,"Strength of the ""Dissonant"" score descriptor implied by the summary",0.54,,A,False,score_Dissonant,True,A,0.54,0.444,0.624
acting_Manic,Acting: Manic,texture,main,"film,tv",0--100,"Strength of the ""Manic"" acting descriptor implied by the summary",0.3,,A,False,acting_Manic,True,C,0.3,0.181,0.411
5_in_your_opinion_how_would_you_rate_the_quality_of_the_character_writ,character-writing quality,structure,main,"film,tv",1--7,"In your opinion, how would you rate the quality of the character writing …",0.431,,A,False,5_in_your_opinion_how_would_you_rate_the_quality_of_the_character_writ,True,B,0.431,0.322,0.528
4_how_interesting_did_you_find_the_visual_style_by_interesting_we_mean,visual interesting,structure,main,"film,tv",1--7,How interesting did you find the visual style?,0.519,,A,False,4_how_interesting_did_you_find_the_visual_style_by_interesting_we_mean,True,A,0.519,0.42,0.605
3_how_evocative_did_you_find_the_visual_style_by_evocative_we_mean_aff,visual evocative,structure,main,"film,tv",1--7,How evocative did you find the visual style?,0.593,,A,False,3_how_evocative_did_you_find_the_visual_style_by_evocative_we_mean_aff,True,A,0.593,0.505,0.669
12c_on_a_scale_of_1_very_confusing_to_7_very_easy_to_understand,clarity (easy to follow),structure,main,"film,tv",1--7,On a scale of 1 (very confusing) to 7 (very easy-to-understand)?,0.34,0.292,A,True,12c_on_a_scale_of_1_very_confusing_to_7_very_easy_to_understand,True,B,0.34,0.223,0.447
8_how_many_major_settings_does_the_movie_contain_here_we_re_asking_you,# settings,structure,main,"film,tv",1--6,How many major settings does the movie contain?,0.305,0.207,A,False,8_how_many_major_settings_does_the_movie_contain_here_we_re_asking_you,True,C,0.305,0.186,0.415
8c_how_proactive_was_this_protagonist_by_proactive_we_mean_motivated_a,protagonist proactive,structure,main,"film,book,tv",1--5,How proactive was this protagonist?,0.25,0.31,A,True,8c_how_proactive_was_this_protagonist_by_proactive_we_mean_motivated_a,True,C,0.31,0.159,0.447
score_Emotional,Score: Emotional,texture,main,"film,tv",0--100,"Strength of the ""Emotional"" score descriptor implied by the summary",0.29,,A,False,score_Emotional,True,C,0.29,0.17,0.401
visual_Natural,Visual: Natural,texture,main,"film,tv",0--100,"Strength of the ""Natural"" visual descriptor implied by the summary",0.37,,A,False,visual_Natural,True,B,0.37,0.256,0.474
visual_Busy,Visual: Busy,texture,main,"film,tv",0--100,"Strength of the ""Busy"" visual descriptor implied by the summary",0.27,,B,False,visual_Busy,True,C,0.27,0.149,0.383
6_how_did_you_feel_about_the_movie,overall feeling,structure,main,"film,tv",1--7,How did you feel about the movie?,0.34,,B,False,6_how_did_you_feel_about_the_movie,True,B,0.34,0.223,0.447
plot_compelling,plot compelling,structure,main,book,2--7,How compelling did you find the plot?,0.35,0.24,B,True,book_plot_compelling,True,B,0.35,0.234,0.456
acting_Physical,Acting: Physical,texture,main,"film,tv",0--100,"Strength of the ""Physical"" acting descriptor implied by the summary",0.31,,B,False,acting_Physical,True,C,0.31,0.191,0.42
8b_how_competent_was_this_protagonist_by_competent_we_mean_effective_a,protagonist competent,structure,main,"film,book,tv",1--5,How competent was this protagonist?,0.366,0.54,A,True,8b_how_competent_was_this_protagonist_by_competent_we_mean_effective_a,True,A,0.54,0.417,0.644
acting_Intense,Acting: Intense,texture,main,"film,tv",0--100,"Strength of the ""Intense"" acting descriptor implied by the summary",0.51,,B,False,acting_Intense,True,A,0.51,0.41,0.598
3_approximately_how_many_named_side_characters_are_in_this_movie_feel,# side characters,structure,main,"film,tv",2--50,Approximately how many named side characters are in this movie?,0.27,,B,False,3_approximately_how_many_named_side_characters_are_in_this_movie_feel,True,C,0.27,0.149,0.383
visual_Fast_cut,Visual: Fast-cut,texture,main,"film,tv",0--100,"Strength of the ""Fast-cut"" visual descriptor implied by the summary",0.29,,B,False,visual_Fast_cut,True,C,0.29,0.17,0.401
10_how_important_was_the_dialogue_to_your_experience_of_the_movie_as_a,dialogue importance,structure,main,"film,tv",1--5,How important was the dialogue to your experience of the movie as a whole?,0.28,,B,False,10_how_important_was_the_dialogue_to_your_experience_of_the_movie_as_a,True,C,0.28,0.16,0.392
13_how_much_did_you_like_the_score,score liking,structure,main,"film,tv",2--7,How much did you like the score?,0.31,,B,False,13_how_much_did_you_like_the_score,True,C,0.31,0.191,0.42
acting_Natural,Acting: Natural,texture,main,"film,tv",0--100,"Strength of the ""Natural"" acting descriptor implied by the summary",0.29,,B,False,acting_Natural,True,C,0.29,0.17,0.401
acting_Improvisational,Acting: Improvisational,texture,main,"film,tv",0--100,"Strength of the ""Improvisational"" acting descriptor implied by the summary",0.37,,B,False,acting_Improvisational,True,B,0.37,0.256,0.474
9_how_realistic_did_you_find_the_dialogue_in_the_movie,dialogue realistic,structure,main,"film,tv",1--7,How realistic did you find the dialogue in the movie?,0.34,,B,False,9_how_realistic_did_you_find_the_dialogue_in_the_movie,True,B,0.34,0.223,0.447
score_Intimate,Score: Intimate,texture,main,"film,tv",0--100,"Strength of the ""Intimate"" score descriptor implied by the summary",0.43,,B,False,score_Intimate,True,B,0.43,0.321,0.528
familiar_world,familiar world,structure,main,book,1--7,How familiar was the world of the movie?,0.26,,B,False,book_familiar_world,True,C,0.26,0.138,0.374
acting_Subtle,Acting: Subtle,texture,main,"film,tv",0--100,"Strength of the ""Subtle"" acting descriptor implied by the summary",0.21,,C,False,acting_Subtle,False,drop,0.21,0.086,0.327
12_how_emotionally_invested_were_you_in_this_protagonist,protagonist investment,structure,main,"film,tv",1--7,How emotionally invested were you in this protagonist?,0.25,0.157,B,False,12_how_emotionally_invested_were_you_in_this_protagonist,True,C,0.25,0.128,0.365
satisfying_ending,ending satisfying,structure,main,book,1--7,On a scale of 1 (very unsatisfying) to 7 (very satisfying)?,0.28,0.283,B,True,book_satisfying_ending,True,C,0.28,0.16,0.392
visual_Sharp,Visual: Sharp,texture,main,"film,tv",0--100,"Strength of the ""Sharp"" visual descriptor implied by the summary",0.22,,B,False,visual_Sharp,True,C,0.22,0.097,0.337
themes_interesting,themes interesting,structure,main,book,1--5,How interesting do you personally find the movie's themes?,0.24,,B,False,book_themes_interesting,True,C,0.24,0.117,0.355
visual_Dreamy,Visual: Dreamy,texture,main,"film,tv",0--100,"Strength of the ""Dreamy"" visual descriptor implied by the summary",0.3,,B,False,visual_Dreamy,True,C,0.3,0.181,0.411
acting_Method,Acting: Method,texture,main,"film,tv",0--100,"Strength of the ""Method"" acting descriptor implied by the summary",0.26,,B,False,acting_Method,True,C,0.26,0.138,0.374
4_how_important_would_you_say_the_side_characters_are_in_this_movie,side-character importance,structure,main,"film,tv",1--5,How important would you say the side characters are in this movie?,0.26,0.176,B,False,4_how_important_would_you_say_the_side_characters_are_in_this_movie,True,C,0.26,0.138,0.374
11_how_real_did_this_protagonist_feel_to_you,protagonist real,structure,main,"film,tv",1--7,How real did this protagonist feel to you?,0.565,,C,False,11_how_real_did_this_protagonist_feel_to_you,True,A,0.565,0.473,0.645
score_Choral,Score: Choral,texture,main,"film,tv",0--100,"Strength of the ""Choral"" score descriptor implied by the summary",0.37,,B,False,score_Choral,True,B,0.37,0.256,0.474
acting_Theatrical,Acting: Theatrical,texture,main,"film,tv",0--100,"Strength of the ""Theatrical"" acting descriptor implied by the summary",0.34,,B,False,acting_Theatrical,True,B,0.34,0.223,0.447
2_how_consistent_did_you_find_the_visual_style_by_consistent_we_mean_t,visual consistent,structure,main,"film,tv",1--7,How consistent did you find the visual style?,0.412,,C,False,2_how_consistent_did_you_find_the_visual_style_by_consistent_we_mean_t,True,B,0.412,0.302,0.512
arc_likable_Beginning,Likability (beginning),character-arc,main,"film,book,tv",1--5,How likable the main protagonist is at the beginning of the story; the arc is the end-minus-beginning change,0.32,0.561,--,False,arc_likable_Beginning,True,C,0.32,0.202,0.429
arc_likable_Middle,Likability (middle),character-arc,main,"film,book,tv",1--5,How likable the main protagonist is at the middle of the story; the arc is the end-minus-beginning change,0.38,0.502,--,False,arc_likable_Middle,True,B,0.38,0.267,0.483
arc_likable_End,Likability (end),character-arc,main,"film,book,tv",1--5,How likable the main protagonist is at the end of the story; the arc is the end-minus-beginning change,0.49,0.467,--,False,arc_likable_End,True,A,0.49,0.388,0.58
arc_competent_Beginning,Competence (beginning),character-arc,main,"film,book,tv",1--5,How competent the main protagonist is at the beginning of the story; the arc is the end-minus-beginning change,0.46,0.397,--,False,arc_competent_Beginning,True,A,0.54,0.417,0.644
arc_competent_Middle,Competence (middle),character-arc,main,"film,book,tv",1--5,How competent the main protagonist is at the middle of the story; the arc is the end-minus-beginning change,0.32,0.508,--,False,arc_competent_Middle,True,A,0.54,0.417,0.644
arc_competent_End,Competence (end),character-arc,main,"film,book,tv",1--5,How competent the main protagonist is at the end of the story; the arc is the end-minus-beginning change,0.43,0.602,--,False,arc_competent_End,True,A,0.54,0.417,0.644
arc_proactive_Beginning,Proactiveness (beginning),character-arc,main,"film,book,tv",1--5,How proactive the main protagonist is at the beginning of the story; the arc is the end-minus-beginning change,0.55,0.687,--,False,arc_proactive_Beginning,True,A,0.55,0.455,0.632
arc_proactive_Middle,Proactiveness (middle),character-arc,main,"film,book,tv",1--5,How proactive the main protagonist is at the middle of the story; the arc is the end-minus-beginning change,0.09,0.623,--,False,arc_proactive_Middle,True,C,0.31,0.159,0.447
arc_proactive_End,Proactiveness (end),character-arc,main,"film,book,tv",1--5,How proactive the main protagonist is at the end of the story; the arc is the end-minus-beginning change,0.24,0.547,--,False,arc_proactive_End,True,C,0.31,0.159,0.447
plot_driven,plot-driven,structure,main,"film,book,tv",1--5,How plot-driven the story is (emphasis on external events)?,0.27,0.54,A,True,plot_driven,True,A,0.54,0.417,0.644
character_driven,character-driven,structure,main,"film,book,tv",1--5,How character-driven the story is (internal needs drive the story)?,0.51,0.43,A,True,character_driven,True,A,0.51,0.41,0.598
setting_when,Setting: era (when),setting,main,"film,book,tv","select-all, 5 options 0-100","When the story is set relative to the present (present day, near/distant past, near/distant future)",0.71,0.78,A,True,setting_when,True,A,0.78,0.709,0.835
setting_where,Setting: place (where),setting,main,"film,book,tv","select-all, 3 options 0-100","Where the story is set (real Earth, imaginary Earth, off Earth)",0.57,0.62,A,True,setting_where,True,A,0.62,0.512,0.709
character_development,Character development,structure,main,"film,book,tv",1-7,Extent of the protagonist’s internal change over the story,0.58,0.34,A,True,character_development,True,A,0.54,0.444,0.624
opening_hook,Opening hook,structure,main,"film,book,tv",1-5,"Whether the story opens with a dramatic, mysterious, or shocking hook",0.36,0.35,A,True,opening_hook,True,B,0.352,0.236,0.458
time_linearity,Time linearity,structure,main,"film,tv",1-4,How non-linear the temporal order is,0.32,0.45,A,True,time_linearity,True,A,0.45,0.314,0.568
