canonical_column,construct,media,survey_question,response_scale,survey_source,llm_prompt,prompt_source
genre_Action,genre,"film,book,tv",What movie genre(s) do you believe this movie belongs to? Select all that apply.,select-all checkbox; this attribute = the 'Action' option (0/1),raw survey Movie Q724 (genre select-all),"On a scale 0-100, how strongly does the genre 'Action' apply to this {m} based on its plot? Return ONLY JSON {""v"": number}.",atlas_canonical/validation/validation_summary.csv
genre_Adventure,genre,"film,book,tv",,,LLM-only: 'Adventure' is not among survey Q724's 10 genre options; scored 0-100 vs the IMDb 'Adventure' label,"On a scale 0-100, how strongly does the genre 'Adventure' apply to this {m} based on its plot? Return ONLY JSON {""v"": number}.",atlas_canonical/validation/validation_summary.csv
genre_Mystery,genre,"film,book,tv",What movie genre(s) do you believe this movie belongs to? Select all that apply.,select-all checkbox; this attribute = the 'Mystery' option (0/1),raw survey Movie Q724 (genre select-all),"On a scale 0-100, how strongly does the genre 'Mystery' apply to this {m} based on its plot? Return ONLY JSON {""v"": number}.",atlas_canonical/validation/validation_summary.csv
genre_Crime,genre,"film,book,tv",,,LLM-only: 'Crime' is not among survey Q724's 10 genre options; scored 0-100 vs the IMDb 'Crime' label,"On a scale 0-100, how strongly does the genre 'Crime' apply to this {m} based on its plot? Return ONLY JSON {""v"": number}.",atlas_canonical/validation/validation_summary.csv
genre_Thriller,genre,"film,book,tv",What movie genre(s) do you believe this movie belongs to? Select all that apply.,select-all checkbox; this attribute = the 'Thriller' option (0/1),raw survey Movie Q724 (genre select-all),"On a scale 0-100, how strongly does the genre 'Thriller' apply to this {m} based on its plot? Return ONLY JSON {""v"": number}.",atlas_canonical/validation/validation_summary.csv
genre_Family,genre,"film,book,tv",,,LLM-only: 'Family' is not among survey Q724's 10 genre options; scored 0-100 vs the IMDb 'Family' label,"On a scale 0-100, how strongly does the genre 'Family' apply to this {m} based on its plot? Return ONLY JSON {""v"": number}.",atlas_canonical/validation/validation_summary.csv
genre_Romance,genre,"film,book,tv",What movie genre(s) do you believe this movie belongs to? Select all that apply.,select-all checkbox; this attribute = the 'Romance' option (0/1),raw survey Movie Q724 (genre select-all),"On a scale 0-100, how strongly does the genre 'Romance' apply to this {m} based on its plot? Return ONLY JSON {""v"": number}.",atlas_canonical/validation/validation_summary.csv
genre_Drama,genre,"film,book,tv",What movie genre(s) do you believe this movie belongs to? Select all that apply.,select-all checkbox; this attribute = the 'Drama' option (0/1),raw survey Movie Q724 (genre select-all),"On a scale 0-100, how strongly does the genre 'Drama' apply to this {m} based on its plot? Return ONLY JSON {""v"": number}.",atlas_canonical/validation/validation_summary.csv
6_how_science_fictional_was_the_world_of_the_movie_by_science_fictiona,structure,"film,tv","6. How science-fictional was the world of the movie? By science-fictional we mean a world of alternative ways of life made possible by technological advancements, typically set in the future, as in Neuromancer.",rating scale,raw survey header (exact-column slug match),"Consider this {m}. How science-fictional was the world of the movie? By science-fictional we mean a world Respond 1 (not at all) to 7 (extremely). Return ONLY JSON {""v"": number}.",atlas_canonical/validation/validation_summary.csv
visual_Dark,texture,"film,tv",1. Which words best describe the visual style? Select all that apply.,select-all checkbox; this attribute = the 'Dark' option (0/1),raw survey Movie Q2 sec.5 (visual style select-all),"On a scale 0-100, how strongly does 'Dark' describe the visual style of this {m} based on its plot? Return ONLY JSON {""v"": number}.",atlas_canonical/validation/validation_summary.csv
5_how_fantastical_was_the_world_of_the_movies_by_fantastical_we_mean_a,structure,"film,tv","5. How fantastical was the world of the movies? By fantastical we mean a world that would be characterized as “fantasy,” typically one where magic is real, as in Lord of the Rings.",rating scale,raw survey header (exact-column slug match),"Based only on this {m}'s plot, answer: How fantastical was the world of the movies? By fantastical we mean a world that would Give a number 1-7 (1=lowest, 7=highest). Return ONLY JSON {""v"": number}.",atlas_canonical/validation/validation_summary.csv
score_Ominous,texture,"film,tv",11. Which words best describe the musical style of the movie's score? Select all that apply.,select-all checkbox; this attribute = the 'Ominous' option (0/1),raw survey Movie Q820 (score style select-all),"On a scale 0-100, how strongly does 'Ominous' describe the musical score of this {m} based on its plot? Return ONLY JSON {""v"": number}.",atlas_canonical/validation/validation_summary.csv
acting_Campy,texture,"film,tv",14. Which words best describe the acting? Select all that apply,select-all checkbox; this attribute = the 'Campy' option (0/1),raw survey Movie Q829 (acting descriptors select-all),"On a scale 0-100, how strongly does 'Campy' describe the acting of this {m} based on its plot? Return ONLY JSON {""v"": number}.",atlas_canonical/validation/validation_summary.csv
visual_Saturated,texture,"film,tv",1. Which words best describe the visual style? Select all that apply.,select-all checkbox; this attribute = the 'Saturated' option (0/1),raw survey Movie Q2 sec.5 (visual style select-all),"On a scale 0-100, how strongly does 'Saturated' describe the visual style of this {m} based on its plot? Return ONLY JSON {""v"": number}.",atlas_canonical/validation/validation_summary.csv
5_if_you_checked_any_of_the_above_how_relevant_are_these_aspect_s_of_t,structure,"film,tv","5. If you checked any of the above, how relevant are these aspect(s) of their identity to their experience in the movie? For example, in Wonder by R. J. Palacio, the protagonist Auggie has a severe facial deformity, which is extremely relevant to his experience of going to public school for the first time. In Fourth Wing by Rebecca Yarros, the protagonist Violet has a disability that impacts her strength and mobility, but it’s not as central.",rating scale,raw survey header (exact-column slug match),"Based only on this {m}'s plot, answer: If you checked any of the above, how relevant are these aspect(s) of their identity to Give a number 1-5 (1=lowest, 5=highest). Return ONLY JSON {""v"": number}.",atlas_canonical/validation/validation_summary.csv
visual_Muted,texture,"film,tv",1. Which words best describe the visual style? Select all that apply.,select-all checkbox; this attribute = the 'Muted' option (0/1),raw survey Movie Q2 sec.5 (visual style select-all),"On a scale 0-100, how strongly does 'Muted' describe the visual style of this {m} based on its plot? Return ONLY JSON {""v"": number}.",atlas_canonical/validation/validation_summary.csv
3_how_realistic_was_the_world_of_the_movie_by_realistic_we_mean_plausi,structure,"film,tv",3. How realistic was the world of the movie? By realistic we mean plausible - a faithful or true-to-life representation.,rating scale,raw survey header (exact-column slug match),"Based only on this {m}'s plot, answer: How realistic was the world of the movie? By realistic we mean plausible - a faithful o Give a number 1-7 (1=lowest, 7=highest). Return ONLY JSON {""v"": number}.",atlas_canonical/validation/validation_summary.csv
visual_Gritty,texture,"film,tv",1. Which words best describe the visual style? Select all that apply.,select-all checkbox; this attribute = the 'Gritty' option (0/1),raw survey Movie Q2 sec.5 (visual style select-all),"On a scale 0-100, how strongly does 'Gritty' describe the visual style of this {m} based on its plot? Return ONLY JSON {""v"": number}.",atlas_canonical/validation/validation_summary.csv
1_how_many_protagonists_were_there_a_protagonist_is_the_person_or_enti,structure,"film,tv","1. How many protagonists were there? A protagonist is the person or entity at the heart of the story - the principal character(s) around whom the movie revolves. While it’s normal for movies to have multiple important characters, there are usually only one or few protagonists. For example, the Harry Potter series has one protagonist; Romeo and Juliet has two; and Sisterhood of the Traveling Pants has four, each with their own personalities and storylines. In cases where a movie has more than 5 protagonists, it’s almost always because it’s made up of an “ensemble cast” in which all characters are protagonists with relatively equal weight in the story. This is most often true of movies made up of interconnected short stories or slice-of-life snippets.",1..>5,raw survey header (exact-column slug match),"Based only on this {m}'s plot, answer: How many protagonists were there? A protagonist is the person or entity at the heart Give a number 1-6 (1=lowest, 6=highest). Return ONLY JSON {""v"": number}.",atlas_canonical/validation/validation_summary.csv
visual_Bright,texture,"film,tv",1. Which words best describe the visual style? Select all that apply.,select-all checkbox; this attribute = the 'Bright' option (0/1),raw survey Movie Q2 sec.5 (visual style select-all),"On a scale 0-100, how strongly does 'Bright' describe the visual style of this {m} based on its plot? Return ONLY JSON {""v"": number}.",atlas_canonical/validation/validation_summary.csv
score_Orchestral,texture,"film,tv",11. Which words best describe the musical style of the movie's score? Select all that apply.,select-all checkbox; this attribute = the 'Orchestral' option (0/1),raw survey Movie Q820 (score style select-all),"On a scale 0-100, how strongly does 'Orchestral' describe the musical score of this {m} based on its plot? Return ONLY JSON {""v"": number}.",atlas_canonical/validation/validation_summary.csv
12a_on_a_scale_of_1_entirely_unresolved_to_7_entirely_resolved,structure,"film,tv",12a. On a scale of 1 (entirely unresolved) to 7 (entirely resolved)?,rating scale,raw survey header (exact-column slug match),"Based only on this {m}'s plot, answer: On a scale of 1 (entirely unresolved) to 7 (entirely resolved)? Give a number 1-7 (1=lowest, 7=highest). Return ONLY JSON {""v"": number}.",atlas_canonical/validation/validation_summary.csv
7_overall_how_relevant_was_world_building_to_the_movie_world_building,structure,"film,tv","7. Overall, how relevant was world-building to the movie? World-building is defined as the process of developing a detailed and plausible fictional world. It’s most critical when the world in question is meaningfully different from our own - or even a different planet entirely. For example, world-building would be more relevant to a sci-fi story in which people travel between multiverses - not currently possible! - than a contemporary novel in which people travel to different countries.",rating scale,raw survey header (exact-column slug match),"Based only on this {m}'s plot, answer: Overall, how relevant was world-building to the movie? World-building is defined as th Give a number 1-5 (1=lowest, 5=highest). Return ONLY JSON {""v"": number}.",atlas_canonical/validation/validation_summary.csv
visual_Handheld,texture,"film,tv",1. Which words best describe the visual style? Select all that apply.,select-all checkbox; this attribute = the 'Handheld' option (0/1),raw survey Movie Q2 sec.5 (visual style select-all),"On a scale 0-100, how strongly does 'Handheld' describe the visual style of this {m} based on its plot? Return ONLY JSON {""v"": number}.",atlas_canonical/validation/validation_summary.csv
12b_on_a_scale_of_1_very_unsurprising_predictable_to_7_very_surprising,structure,"film,tv",12b. On a scale of 1 (very unsurprising / predictable) to 7 (very surprising)?,rating scale,raw survey header (exact-column slug match),"Consider this {m}. On a scale of 1 (very unsurprising / predictable) to 7 (very surprising)? Respond 1 (not at all) to 7 (extremely). Return ONLY JSON {""v"": number}.",atlas_canonical/validation/validation_summary.csv
score_Melodic,texture,"film,tv",11. Which words best describe the musical style of the movie's score? Select all that apply.,select-all checkbox; this attribute = the 'Melodic' option (0/1),raw survey Movie Q820 (score style select-all),"On a scale 0-100, how strongly does 'Melodic' describe the musical score of this {m} based on its plot? Return ONLY JSON {""v"": number}.",atlas_canonical/validation/validation_summary.csv
acting_Brooding,texture,"film,tv",14. Which words best describe the acting? Select all that apply,select-all checkbox; this attribute = the 'Brooding' option (0/1),raw survey Movie Q829 (acting descriptors select-all),"On a scale 0-100, how strongly does 'Brooding' describe the acting of this {m} based on its plot? Return ONLY JSON {""v"": number}.",atlas_canonical/validation/validation_summary.csv
visual_Slow,texture,"film,tv",1. Which words best describe the visual style? Select all that apply.,select-all checkbox; this attribute = the 'Slow' option (0/1),raw survey Movie Q2 sec.5 (visual style select-all),"On a scale 0-100, how strongly does 'Slow' describe the visual style of this {m} based on its plot? Return ONLY JSON {""v"": number}.",atlas_canonical/validation/validation_summary.csv
visual_Stylized,texture,"film,tv",1. Which words best describe the visual style? Select all that apply.,select-all checkbox; this attribute = the 'Stylized' option (0/1),raw survey Movie Q2 sec.5 (visual style select-all),"On a scale 0-100, how strongly does 'Stylized' describe the visual style of this {m} based on its plot? Return ONLY JSON {""v"": number}.",atlas_canonical/validation/validation_summary.csv
score_Rock_n__Roll,texture,"film,tv",11. Which words best describe the musical style of the movie's score? Select all that apply.,select-all checkbox; this attribute = the 'Rock_n__Roll' option (0/1),raw survey Movie Q820 (score style select-all),"On a scale 0-100, how strongly does 'Rock n' Roll' describe the musical score of this {m} based on its plot? Return ONLY JSON {""v"": number}.",atlas_canonical/validation/validation_summary.csv
acting_Deadpan,texture,"film,tv",14. Which words best describe the acting? Select all that apply,select-all checkbox; this attribute = the 'Deadpan' option (0/1),raw survey Movie Q829 (acting descriptors select-all),"On a scale 0-100, how strongly does 'Deadpan' describe the acting of this {m} based on its plot? Return ONLY JSON {""v"": number}.",atlas_canonical/validation/validation_summary.csv
score_Electronic,texture,"film,tv",11. Which words best describe the musical style of the movie's score? Select all that apply.,select-all checkbox; this attribute = the 'Electronic' option (0/1),raw survey Movie Q820 (score style select-all),"On a scale 0-100, how strongly does 'Electronic' describe the musical score of this {m} based on its plot? Return ONLY JSON {""v"": number}.",atlas_canonical/validation/validation_summary.csv
5_in_your_opinion_how_would_you_rate_the_quality_of_the_setting_and_wo,structure,"film,tv","5. In your opinion, how would you rate the quality of the character writing in this movie, on a scale of 1-7?",rating scale,raw survey header (exact-column slug match),"Based only on this {m}'s plot, answer: In your opinion, how would you rate the quality of the setting and world-building writi Give a number 1-7 (1=lowest, 7=highest). Return ONLY JSON {""v"": number}.",atlas_canonical/validation/validation_summary.csv
8a_how_likable_was_this_protagonist_by_likable_we_mean_easy_to_relate,structure,"film,book,tv","8a. How likable was this protagonist? By likable, we mean easy to relate to, empathize with, and root for.",rating scale,raw survey header (exact-column slug match),"Based only on this {m}'s plot, answer: How likable was this protagonist? By likable, we mean easy to relate to, empathize wit Give a number 1-5 (1=lowest, 5=highest). Return ONLY JSON {""v"": number}.",atlas_canonical/validation/validation_summary.csv
score_Grand,texture,"film,tv",11. Which words best describe the musical style of the movie's score? Select all that apply.,select-all checkbox; this attribute = the 'Grand' option (0/1),raw survey Movie Q820 (score style select-all),"On a scale 0-100, how strongly does 'Grand' describe the musical score of this {m} based on its plot? Return ONLY JSON {""v"": number}.",atlas_canonical/validation/validation_summary.csv
19_how_convincing_did_you_find_the_plot_by_convincing_we_mean_believab,structure,"film,tv",19. How convincing did you find the plot? By convincing we mean believable.,rating scale,raw survey header (exact-column slug match),"Rate this {m} on ONE survey question from its Wikipedia plot and reception. Question: How convincing did you find the plot? By convincing we mean believable. [1=low to 7=high]. Return ONLY JSON {""v"": number}.",atlas_canonical/validation/validation_summary.csv
7_now_let_s_talk_pun_intended_about_dialogue_in_your_opinion_how_was_t,structure,"film,tv","7. Now, let’s talk (pun intended) about dialogue! In your opinion, how was the quality of dialogue throughout the movie?",survey rating item,raw survey header (exact-column slug match),"Based only on this {m}'s plot, answer: Now, let’s talk (pun intended) about dialogue! In your opinion, how was the quality Give a number 2-5 (2=lowest, 5=highest). Return ONLY JSON {""v"": number}.",atlas_canonical/validation/validation_summary.csv
7_on_the_whole_how_would_you_describe_the_pace_of_the_movie_pace_is_th,structure,"film,tv","7. On the whole, how would you describe the pace of the movie? Pace is the speed at which the story develops - how quickly or slowly it moves (and is perceived to be moving by the reader). It’s controlled through elements like the length of scenes, the depth of description, and the rate of action.",rating scale,raw survey header (exact-column slug match),"Consider this {m}. On the whole, how would you describe the pace of the movie? Pace is the speed at which Respond 1 (not at all) to 5 (extremely). Return ONLY JSON {""v"": number}.",atlas_canonical/validation/validation_summary.csv
acting_Raw,texture,"film,tv",14. Which words best describe the acting? Select all that apply,select-all checkbox; this attribute = the 'Raw' option (0/1),raw survey Movie Q829 (acting descriptors select-all),"On a scale 0-100, how strongly does 'Raw' describe the acting of this {m} based on its plot? Return ONLY JSON {""v"": number}.",atlas_canonical/validation/validation_summary.csv
8_how_engaging_did_you_find_the_dialogue_in_the_movie,structure,"film,tv",8. How engaging did you find the dialogue in the movie?,rating scale,raw survey header (exact-column slug match),"Based only on this {m}'s plot, answer: How engaging did you find the dialogue in the movie? Give a number 1-7 (1=lowest, 7=highest). Return ONLY JSON {""v"": number}.",atlas_canonical/validation/validation_summary.csv
mood_Sad,mood,"film,book,tv","5. How would you describe the mood - or, less formally, the “vibes” - of the movie? Select all that apply from the alphabetized list below.",select-all checkbox; this attribute = the 'Sad' option (0/1),raw survey Movie Q8 (mood/vibes select-all),"On a scale 0-100, how strongly does the mood 'Sad' apply to this {m} based on its plot? Return ONLY JSON {""v"": number}.",atlas_canonical/validation/validation_summary.csv
mood_Optimistic,mood,"film,book,tv","5. How would you describe the mood - or, less formally, the “vibes” - of the movie? Select all that apply from the alphabetized list below.",select-all checkbox; this attribute = the 'Optimistic' option (0/1),raw survey Movie Q8 (mood/vibes select-all),"On a scale 0-100, how strongly does the mood 'Optimistic' apply to this {m} based on its plot? Return ONLY JSON {""v"": number}.",atlas_canonical/validation/validation_summary.csv
mood_Quirky,mood,"film,book,tv","5. How would you describe the mood - or, less formally, the “vibes” - of the movie? Select all that apply from the alphabetized list below.",select-all checkbox; this attribute = the 'Quirky' option (0/1),raw survey Movie Q8 (mood/vibes select-all),"On a scale 0-100, how strongly does the mood 'Quirky' apply to this {m} based on its plot? Return ONLY JSON {""v"": number}.",atlas_canonical/validation/validation_summary.csv
mood_Raw,mood,"film,book,tv","5. How would you describe the mood - or, less formally, the “vibes” - of the movie? Select all that apply from the alphabetized list below.",select-all checkbox; this attribute = the 'Raw' option (0/1),raw survey Movie Q8 (mood/vibes select-all),"On a scale 0-100, how strongly does the mood 'Raw' apply to this {m} based on its plot? Return ONLY JSON {""v"": number}.",atlas_canonical/validation/validation_summary.csv
mood_Reflective,mood,"film,book,tv","5. How would you describe the mood - or, less formally, the “vibes” - of the movie? Select all that apply from the alphabetized list below.",select-all checkbox; this attribute = the 'Reflective' option (0/1),raw survey Movie Q8 (mood/vibes select-all),"From this {m}'s plot, does the mood 'Reflective' apply? Return ONLY JSON {""v"": 0 or 1}.",atlas_canonical/validation/validation_summary.csv
mood_Romantic,mood,"film,book,tv","5. How would you describe the mood - or, less formally, the “vibes” - of the movie? Select all that apply from the alphabetized list below.",select-all checkbox; this attribute = the 'Romantic' option (0/1),raw survey Movie Q8 (mood/vibes select-all),"On a scale 0-100, how strongly does the mood 'Romantic' apply to this {m} based on its plot? Return ONLY JSON {""v"": number}.",atlas_canonical/validation/validation_summary.csv
mood_Surreal,mood,"film,book,tv","5. How would you describe the mood - or, less formally, the “vibes” - of the movie? Select all that apply from the alphabetized list below.",select-all checkbox; this attribute = the 'Surreal' option (0/1),raw survey Movie Q8 (mood/vibes select-all),"On a scale 0-100, how strongly does the mood 'Surreal' apply to this {m} based on its plot? Return ONLY JSON {""v"": number}.",atlas_canonical/validation/validation_summary.csv
mood_Tense,mood,"film,book,tv","5. How would you describe the mood - or, less formally, the “vibes” - of the movie? Select all that apply from the alphabetized list below.",select-all checkbox; this attribute = the 'Tense' option (0/1),raw survey Movie Q8 (mood/vibes select-all),"On a scale 0-100, how strongly does the mood 'Tense' apply to this {m} based on its plot? Return ONLY JSON {""v"": number}.",atlas_canonical/validation/validation_summary.csv
mood_Tragic,mood,"film,book,tv","5. How would you describe the mood - or, less formally, the “vibes” - of the movie? Select all that apply from the alphabetized list below.",select-all checkbox; this attribute = the 'Tragic' option (0/1),raw survey Movie Q8 (mood/vibes select-all),"On a scale 0-100, how strongly does the mood 'Tragic' apply to this {m} based on its plot? Return ONLY JSON {""v"": number}.",atlas_canonical/validation/validation_summary.csv
mood_Whimsical,mood,"film,book,tv","5. How would you describe the mood - or, less formally, the “vibes” - of the movie? Select all that apply from the alphabetized list below.",select-all checkbox; this attribute = the 'Whimsical' option (0/1),raw survey Movie Q8 (mood/vibes select-all),"On a scale 0-100, how strongly does the mood 'Whimsical' apply to this {m} based on its plot? Return ONLY JSON {""v"": number}.",atlas_canonical/validation/validation_summary.csv
mood_Wistful,mood,"film,book,tv","5. How would you describe the mood - or, less formally, the “vibes” - of the movie? Select all that apply from the alphabetized list below.",select-all checkbox; this attribute = the 'Wistful' option (0/1),raw survey Movie Q8 (mood/vibes select-all),"On a scale 0-100, how strongly does the mood 'Wistful' apply to this {m} based on its plot? Return ONLY JSON {""v"": number}.",atlas_canonical/validation/validation_summary.csv
mood_Lighthearted,mood,"film,book,tv","5. How would you describe the mood - or, less formally, the “vibes” - of the movie? Select all that apply from the alphabetized list below.",select-all checkbox; this attribute = the 'Lighthearted' option (0/1),raw survey Movie Q8 (mood/vibes select-all),"On a scale 0-100, how strongly does the mood 'Lighthearted' apply to this {m} based on its plot? Return ONLY JSON {""v"": number}.",atlas_canonical/validation/validation_summary.csv
visual_Clean,texture,"film,tv",1. Which words best describe the visual style? Select all that apply.,select-all checkbox; this attribute = the 'Clean' option (0/1),raw survey Movie Q2 sec.5 (visual style select-all),"On a scale 0-100, how strongly does 'Clean' describe the visual style of this {m} based on its plot? Return ONLY JSON {""v"": number}.",atlas_canonical/validation/validation_summary.csv
mood_Melancholic,mood,"film,book,tv","5. How would you describe the mood - or, less formally, the “vibes” - of the movie? Select all that apply from the alphabetized list below.",select-all checkbox; this attribute = the 'Melancholic' option (0/1),raw survey Movie Q8 (mood/vibes select-all),"On a scale 0-100, how strongly does the mood 'Melancholic' apply to this {m} based on its plot? Return ONLY JSON {""v"": number}.",atlas_canonical/validation/validation_summary.csv
mood_Mysterious,mood,"film,book,tv","5. How would you describe the mood - or, less formally, the “vibes” - of the movie? Select all that apply from the alphabetized list below.",select-all checkbox; this attribute = the 'Mysterious' option (0/1),raw survey Movie Q8 (mood/vibes select-all),"On a scale 0-100, how strongly does the mood 'Mysterious' apply to this {m} based on its plot? Return ONLY JSON {""v"": number}.",atlas_canonical/validation/validation_summary.csv
mood_Inspirational,mood,"film,book,tv","5. How would you describe the mood - or, less formally, the “vibes” - of the movie? Select all that apply from the alphabetized list below.",select-all checkbox; this attribute = the 'Inspirational' option (0/1),raw survey Movie Q8 (mood/vibes select-all),"On a scale 0-100, how strongly does the mood 'Inspirational' apply to this {m} based on its plot? Return ONLY JSON {""v"": number}.",atlas_canonical/validation/validation_summary.csv
mood_Cozy,mood,"film,book,tv","5. How would you describe the mood - or, less formally, the “vibes” - of the movie? Select all that apply from the alphabetized list below.",select-all checkbox; this attribute = the 'Cozy' option (0/1),raw survey Movie Q8 (mood/vibes select-all),"On a scale 0-100, how strongly does the mood 'Cozy' apply to this {m} based on its plot? Return ONLY JSON {""v"": number}.",atlas_canonical/validation/validation_summary.csv
5_to_what_extent_did_you_feel_moved_by_this_movie_on_an_emotional_basi,structure,"film,tv",5. To what extent did you feel moved by this movie on an emotional basis? An intellectual basis?,rating scale,raw survey header (exact-column slug match),"Consider this {m}. To what extent did you feel moved by this movie on an emotional basis? An intellectual Respond 1 (not at all) to 5 (extremely). Return ONLY JSON {""v"": number}.",atlas_canonical/validation/validation_summary.csv
mood_Hopeful,mood,"film,book,tv","5. How would you describe the mood - or, less formally, the “vibes” - of the movie? Select all that apply from the alphabetized list below.",select-all checkbox; this attribute = the 'Hopeful' option (0/1),raw survey Movie Q8 (mood/vibes select-all),"On a scale 0-100, how strongly does the mood 'Hopeful' apply to this {m} based on its plot? Return ONLY JSON {""v"": number}.",atlas_canonical/validation/validation_summary.csv
mood_Bittersweet,mood,"film,book,tv","5. How would you describe the mood - or, less formally, the “vibes” - of the movie? Select all that apply from the alphabetized list below.",select-all checkbox; this attribute = the 'Bittersweet' option (0/1),raw survey Movie Q8 (mood/vibes select-all),"On a scale 0-100, how strongly does the mood 'Bittersweet' apply to this {m} based on its plot? Return ONLY JSON {""v"": number}.",atlas_canonical/validation/validation_summary.csv
mood_Bleak,mood,"film,book,tv","5. How would you describe the mood - or, less formally, the “vibes” - of the movie? Select all that apply from the alphabetized list below.",select-all checkbox; this attribute = the 'Bleak' option (0/1),raw survey Movie Q8 (mood/vibes select-all),"On a scale 0-100, how strongly does the mood 'Bleak' apply to this {m} based on its plot? Return ONLY JSON {""v"": number}.",atlas_canonical/validation/validation_summary.csv
mood_Chaotic,mood,"film,book,tv","5. How would you describe the mood - or, less formally, the “vibes” - of the movie? Select all that apply from the alphabetized list below.",select-all checkbox; this attribute = the 'Chaotic' option (0/1),raw survey Movie Q8 (mood/vibes select-all),"On a scale 0-100, how strongly does the mood 'Chaotic' apply to this {m} based on its plot? Return ONLY JSON {""v"": number}.",atlas_canonical/validation/validation_summary.csv
mood_Challenging,mood,"film,book,tv","5. How would you describe the mood - or, less formally, the “vibes” - of the movie? Select all that apply from the alphabetized list below.",select-all checkbox; this attribute = the 'Challenging' option (0/1),raw survey Movie Q8 (mood/vibes select-all),"On a scale 0-100, how strongly does the mood 'Challenging' apply to this {m} based on its plot? Return ONLY JSON {""v"": number}.",atlas_canonical/validation/validation_summary.csv
mood_Chilling,mood,"film,book,tv","5. How would you describe the mood - or, less formally, the “vibes” - of the movie? Select all that apply from the alphabetized list below.",select-all checkbox; this attribute = the 'Chilling' option (0/1),raw survey Movie Q8 (mood/vibes select-all),"From this {m}'s plot, does the mood 'Chilling' apply? Return ONLY JSON {""v"": 0 or 1}.",atlas_canonical/validation/validation_summary.csv
mood_Adventurous,mood,"film,book,tv","5. How would you describe the mood - or, less formally, the “vibes” - of the movie? Select all that apply from the alphabetized list below.",select-all checkbox; this attribute = the 'Adventurous' option (0/1),raw survey Movie Q8 (mood/vibes select-all),"On a scale 0-100, how strongly does the mood 'Adventurous' apply to this {m} based on its plot? Return ONLY JSON {""v"": number}.",atlas_canonical/validation/validation_summary.csv
