medium,attr,n,r
tv,5_if_you_checked_any_of_the_above_how_relevant_are_these_aspect_s_of_t,7347,0.5964925139664972
tv,8a_how_likable_was_this_protagonist_by_likable_we_mean_easy_to_relate,7378,0.6909614156514656
tv,8b_how_competent_was_this_protagonist_by_competent_we_mean_effective_a,7401,0.6725586657671158
tv,11_how_real_did_this_protagonist_feel_to_you,7407,0.6851740470599108
tv,12_how_emotionally_invested_were_you_in_this_protagonist,7416,0.6827668263798908
tv,13_how_relatable_did_you_find_this_protagonist,7411,0.6551762276511999
tv,5_in_your_opinion_how_would_you_rate_the_quality_of_the_character_writ,7411,0.645285703921432
tv,3_how_realistic_was_the_world_of_the_movie_by_realistic_we_mean_plausi,7390,0.8249355471724487
tv,5_how_fantastical_was_the_world_of_the_movies_by_fantastical_we_mean_a,7409,0.9125501820707206
tv,6_how_science_fictional_was_the_world_of_the_movie_by_science_fictiona,7416,0.9084260788056988
tv,7_overall_how_relevant_was_world_building_to_the_movie_world_building,7414,0.6684110314646772
tv,8_how_many_major_settings_does_the_movie_contain_here_we_re_asking_you,6805,0.6809094436766668
tv,5_in_your_opinion_how_would_you_rate_the_quality_of_the_setting_and_wo,7401,0.6877207713374506
tv,7_on_the_whole_how_would_you_describe_the_pace_of_the_movie_pace_is_th,7416,0.4679175646185853
tv,12a_on_a_scale_of_1_entirely_unresolved_to_7_entirely_resolved,7414,0.5700091180218539
tv,12b_on_a_scale_of_1_very_unsurprising_predictable_to_7_very_surprising,7417,0.5830968025764788
tv,12c_on_a_scale_of_1_very_confusing_to_7_very_easy_to_understand,7417,0.6356066001847349
tv,19_how_convincing_did_you_find_the_plot_by_convincing_we_mean_believab,7411,0.6904229765134174
tv,3_how_evocative_did_you_find_the_visual_style_by_evocative_we_mean_aff,7407,0.5996812605392445
tv,4_how_interesting_did_you_find_the_visual_style_by_interesting_we_mean,7410,0.5331557005904579
tv,7_now_let_s_talk_pun_intended_about_dialogue_in_your_opinion_how_was_t,7407,0.4969157565423065
tv,8_how_engaging_did_you_find_the_dialogue_in_the_movie,7404,0.534205015429461
tv,5_to_what_extent_did_you_feel_moved_by_this_movie_on_an_emotional_basi,7416,0.6953257721755053
tv,13_how_much_did_you_like_the_score,7211,0.3843796538191461
tv,8c_how_proactive_was_this_protagonist_by_proactive_we_mean_motivated_a,7406,0.5962657072567417
tv,character_development,7414,0.7934054142339992
tv,opening_hook,7417,0.7826829688980922
tv,time_linearity,7416,0.6145745021651794
tv,plot_linearity,7416,0.6546473787600838
tv,ending_reversal,7415,0.6909292076361844
book,1_how_many_protagonists_were_there_a_protagonist_is_the_person_or_enti,6921,0.6512416169315588
book,5_if_you_checked_any_of_the_above_how_relevant_are_these_aspect_s_of_t,6920,0.7825697462790058
book,8a_how_likable_was_this_protagonist_by_likable_we_mean_easy_to_relate,6907,0.6941121211403815
book,8b_how_competent_was_this_protagonist_by_competent_we_mean_effective_a,6910,0.6754758191466229
book,8c_how_proactive_was_this_protagonist_by_proactive_we_mean_motivated_a,6911,0.5951153993173375
book,11_how_real_did_this_protagonist_feel_to_you,6916,0.3967906086369662
book,12_how_emotionally_invested_were_you_in_this_protagonist,6918,0.6857098155949833
book,13_how_relatable_did_you_find_this_protagonist,6919,0.6478377583666628
book,5_in_your_opinion_how_would_you_rate_the_quality_of_the_character_writ,6919,0.5887042113285276
book,3_how_realistic_was_the_world_of_the_movie_by_realistic_we_mean_plausi,6915,0.7685218146320298
book,5_how_fantastical_was_the_world_of_the_movies_by_fantastical_we_mean_a,6917,0.9062923402091692
book,6_how_science_fictional_was_the_world_of_the_movie_by_science_fictiona,6919,0.9106784630976806
book,7_overall_how_relevant_was_world_building_to_the_movie_world_building,6920,0.7961263492200574
book,8_how_many_major_settings_does_the_movie_contain_here_we_re_asking_you,6895,0.7419386728733123
book,5_in_your_opinion_how_would_you_rate_the_quality_of_the_setting_and_wo,6917,0.712538878118482
book,7_on_the_whole_how_would_you_describe_the_pace_of_the_movie_pace_is_th,6919,0.5765995514499974
book,12a_on_a_scale_of_1_entirely_unresolved_to_7_entirely_resolved,6917,0.5135447587143458
book,12b_on_a_scale_of_1_very_unsurprising_predictable_to_7_very_surprising,6919,0.6018330438763128
book,12c_on_a_scale_of_1_very_confusing_to_7_very_easy_to_understand,6919,0.4743155398862582
book,19_how_convincing_did_you_find_the_plot_by_convincing_we_mean_believab,6917,0.5431085740962366
book,5_to_what_extent_did_you_feel_moved_by_this_movie_on_an_emotional_basi,6918,0.7319246847315627
